	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.9546351084812623
1	-1	-1	0.9822485207100592
2	-1	-1	0.9289940828402367
3	-1	-1	0.8964497041420119
4	-1	-1	0.9453441295546559
5	-1	-1	0.9926315789473685
6	-1	-1	0.96
7	-1	-1	0.988421052631579
8	-1	-1	0.9736842105263158
9	-1	-1	0.948421052631579
10	-1	-1	0.9714003944773175
11	-1	-1	0.9940828402366865
12	-1	-1	0.9250493096646942
13	-1	-1	0.9605263157894737
14	-1	-1	0.9694280078895464
15	-1	-1	0.9663157894736842
16	-1	-1	0.9736842105263158
17	-1	-1	0.9894736842105263
18	-1	-1	0.9347368421052632
19	-1	-1	0.96
20	-1	-1	0.9763313609467456
21	-1	-1	0.8846153846153846
22	-1	-1	0.9329388560157791
23	-1	-1	0.9443319838056681
24	-1	-1	0.9940828402366864
25	-1	-1	0.9578947368421052
26	-1	-1	0.9631578947368421
27	-1	-1	0.9589473684210527
28	-1	-1	0.94
29	-1	-1	0.9515789473684211
30	-1	-1	0.9773175542406312
31	-1	-1	0.9644970414201184
32	-1	-1	0.9210526315789473
33	-1	-1	0.9260355029585798
34	-1	-1	0.9714003944773175
35	-1	-1	0.9694736842105263
36	-1	-1	0.9873684210526316
37	-1	-1	0.9568421052631579
38	-1	-1	0.9726315789473684
39	-1	-1	0.9810526315789474
40	-1	-1	0.9812623274161736
41	-1	-1	0.9566074950690335
42	-1	-1	0.957593688362919
43	-1	-1	0.9704142011834319
44	-1	-1	0.9777327935222673
45	-1	-1	0.9610526315789474
46	-1	-1	0.971578947368421
47	-1	-1	0.9231578947368422
48	-1	-1	0.968421052631579
49	-1	-1	0.9873684210526317
50	-1	-1	0.9635108481262328
51	-1	-1	0.9566074950690335
52	-1	-1	0.9408284023668639
53	-1	-1	0.945759368836292
54	-1	-1	0.9433198380566802
55	-1	-1	0.9789473684210526
56	-1	-1	0.9852631578947368
57	-1	-1	1.0
58	-1	-1	0.9873684210526317
59	-1	-1	0.9621052631578948
60	-1	-1	0.97534516765286
61	-1	-1	0.9437869822485206
62	-1	-1	0.9812623274161736
63	-1	-1	0.985207100591716
64	-1	-1	0.9423076923076924
65	-1	-1	0.9315789473684211
66	-1	-1	0.9726315789473685
67	-1	-1	0.9221052631578948
68	-1	-1	0.9568421052631579
69	-1	-1	0.9126315789473683
70	-1	-1	0.9437869822485208
71	-1	-1	0.9684418145956608
72	-1	-1	0.97534516765286
73	-1	-1	0.9487179487179487
74	-1	-1	0.965587044534413
75	-1	-1	0.9705263157894737
76	-1	-1	0.9989473684210527
77	-1	-1	0.9484210526315789
78	-1	-1	0.9578947368421052
79	-1	-1	0.9536842105263158
80	-1	-1	0.9990138067061144
81	-1	-1	0.9684418145956608
82	-1	-1	0.9767206477732794
83	-1	-1	0.9408284023668638
84	-1	-1	0.9911242603550295
85	-1	-1	0.976842105263158
86	-1	-1	0.96
87	-1	-1	0.9347368421052631
88	-1	-1	0.9557894736842105
89	-1	-1	0.9736842105263157
90	-1	-1	0.9408284023668638
91	-1	-1	0.9575936883629191
92	-1	-1	0.9881656804733728
93	-1	-1	0.9270216962524656
94	-1	-1	0.9524291497975709
95	-1	-1	0.9494736842105262
96	-1	-1	0.9810526315789474
97	-1	-1	0.9621052631578947
98	-1	-1	0.9494736842105264
99	-1	-1	0.98
100	-1	-1	0.9783037475345169
101	-1	-1	0.898422090729783
102	-1	-1	0.990138067061144
