Gene_Name	Interactions
ADAM2	"['ADAM20', 'B4GALT1']"
ADAM20	['B4GALT1']
ADAM21	"['ADAM20', 'ADAM30', 'ADAM2', 'B4GALT1']"
ADAM22	"['ADAM23', 'LGI2', 'LGI3', 'LGI4']"
ADAM23	"['LGI2', 'LGI3', 'LGI4']"
ADAM30	"['ADAM2', 'ADAM20', 'B4GALT1']"
ADAMTS4	"['P13608', 'ACAN']"
ADAMTS5	"['P13608', 'ACAN']"
ADAR	['ADAR']
ADARB1	['ADARB1']
ADAT3	['ADAT2']
ADCYAP1	"['NTRK2', 'NTRK1', 'ADCYAP1R1']"
ADCYAP1R1	"['NTRK1', 'NTRK2', 'ADCYAP1']"
ADD1	"['DMTN', 'ADD3']"
ADD2	"['ADD1', 'DMTN']"
ADD3	['DMTN']
ADGRG6	['ADGRG6']
ADH1A	"['ADH1A', 'ADH1B']"
ADH1B	['ADH1B']
ADH1C	"['ADH1C', 'ADH1A', 'ADH1B']"
ADH4	['ADH4']
ADH5	['ADH5']
ADH7	['ADH7']
ADIPOQ	"['ADIPOQ', 'ADIPOR1', 'ADIPOR2']"
ADIPOR1	['ADIPOR1']
ADIPOR2	"['ADIPOR1', 'ADIPOR2']"
ADM	"['CALCRL', 'RAMP3', 'RAMP2']"
ADM2	"['RAMP2', 'RAMP3', 'CALCRL']"
ADORA2A	"['NTRK1', 'NTRK2']"
ADRA2A	"['GNAZ', 'GNG2', 'GNB1']"
ADRA2B	"['GNAZ', 'GNG2', 'GNB1']"
ADRA2C	"['GNB1', 'GNAZ', 'GNG2']"
ADRB2	"['GRK3', 'GRK5', 'GRK6', 'GRK2', 'ARRB1', 'ARRB2']"
ADRM1	"['UCHL5', 'USP14']"
ADSL	['ADSL']
ADSS	['ADSS']
ADSSL1	['ADSSL1']
AFDN	"['NECTIN3', 'NECTIN1', 'NECTIN4', 'NECTIN2']"
AFG3L2	['MAIP1']
AGGF1	['AGGF1']
AGK	['AGK']
AGL	"['GYG1', 'GYG2']"
AGO1	"['MOV10', 'TNRC6B', 'TNRC6C', 'TNRC6A']"
AGO2	"['DICER1', 'PRKRA', 'TARBP2', 'MOV10', 'TNRC6C', 'TNRC6A', 'TNRC6B']"
AGO3	"['MOV10', 'TNRC6A', 'TNRC6B', 'TNRC6C']"
AGO4	"['MOV10', 'TNRC6C', 'TNRC6A', 'TNRC6B']"
AGPS	"['GNPAT', 'PEX5', 'PEX10', 'PEX14', 'PEX13', 'PEX12', 'PEX2']"
AGT	['AGTR2']
AGTR1	['AGT']
AGTRAP	['AGTRAP']
AGXT	['AGXT']
AGXT2	['AGXT2']
AHCTF1	"['AHCTF1', 'NUP54', 'NUP58', 'NUP62', 'NDC1']"
AHCY	['AHCY']
AHR	"['HSP90AB1', 'PTGES3', 'ARNT', 'ARNT2']"
AIM2	"['AIM2', 'PYCARD', 'CASP1']"
AIP	"['HSP90AB1', 'AHR', 'PTGES3']"
AK5	['AK5']
AKAP1	"['PRKAR1A', 'PRKAR2B', 'PRKAR1B', 'PRKAR2A', 'PRKACA', 'PRKACG', 'PRKACB']"
AKAP10	"['PRKAR2B', 'PRKAR2A', 'PRKAR1A', 'PRKAR1B', 'PRKACG', 'PRKACA', 'PRKACB']"
AKAP5	['PRKCA']
AKAP9	"['AKAP9', 'KCNQ1', 'KCNE2', 'KCNE1']"
AKR1B10	['RBP2']
AKR1C1	['RBP2']
AKR1C3	['RBP2']
AKR1C4	['RBP2']
AKR7A2	['AKR7A2']
AKR7A3	['AKR7A3']
AKR7L	['AKR7L']
AKT1	"['PDPK1', 'HSP90AA1', 'PTK6', 'NR4A1', 'RPS6KB2', 'MAP3K8', 'AKT1S1', 'BAD', 'Q61337', 'CTNNB1', 'CBY1', 'CREB1', 'FOXO3', 'FOXO4', 'FOXO1', 'GSK3A', 'GSK3B', 'CHUK', 'MEAF6', 'BRPF1', 'ING5', 'KAT6A', 'MDM2', 'MKRN1', 'PHF20', 'TSC2', 'CASP9', 'CDKN1A', 'CDKN1B', 'CALM3', 'NOS3', 'NOTCH4', 'RUNX2', 'CBFB', 'Q08775', 'RRAGA', 'RRAGC', 'SLC38A9', 'RHEB', 'RRAGD', 'MLST8', 'RRAGB', 'MTOR', 'RPTOR', 'DENND1A', 'ITGB3', 'ITGA2B', 'USP8', 'KHSRP', 'ZFP36L1', 'TRIB3', 'THEM4']"
AKT1S1	"['AKT1S1', 'RHEB', 'MLST8', 'RRAGD', 'SLC38A9', 'RRAGB', 'MTOR', 'RPTOR', 'RRAGC', 'RRAGA']"
AKT2	"['CTNNB1', 'CBY1', 'TSC2', 'TSC1', 'C2CD5', 'MYO5A', 'RALGAPA2', 'RALGAPB', 'PDE3B']"
ALAD	['ALAD']
ALAS1	['ALAS1']
ALAS2	['ALAS2']
ALCAM	['L1CAM']
ALDH18A1	['ALDH18A1']
ALDH1A1	['ALDH1A1']
ALDH1A2	['ALDH1A2']
ALDH1A3	['ALDH1A3']
ALDH1B1	['ALDH1B1']
ALDH1L1	['ALDH1L1']
ALDH1L2	['ALDH1L2']
ALDH2	['ALDH2']
ALDH3A2	['ALDH3A2']
ALDH4A1	['ALDH4A1']
ALDH5A1	['ALDH5A1']
ALDH7A1	['ALDH7A1']
ALDH9A1	['ALDH9A1']
ALDOA	['ALDOA']
ALDOB	['ALDOB']
ALDOC	['ALDOC']
ALG14	['ALG13']
ALOX5AP	"['ALOX5', 'ALOX5AP']"
ALPI	['ALPI']
ALPK1	"['TIFA', 'ALPK1', 'TRAF6', 'MAP3K7', 'TAB2', 'TAB3', 'TAB1']"
ALPL	['ALPL']
ALPPL2	['ALPPL2']
ALS2	['ALS2']
ALS2CL	['ALS2CL']
ALYREF	"['SLBP', 'EIF4E']"
AMBP	['AMBP']
AMH	"['AMH', 'AMHR2']"
AMHR2	['AMHR2']
AMN	"['CUBN', 'GIF']"
AMOT	"['WWTR1', 'YAP1']"
AMOTL1	"['WWTR1', 'YAP1']"
AMOTL2	"['WWTR1', 'YAP1']"
AMPD1	['AMPD1']
AMPD2	['AMPD2']
AMPD3	['AMPD3']
AMT	['GCSH']
ANGPT1	"['ANGPT1', 'SHC1', 'GRB2', 'SOS1', 'DOK2', 'GRB14', 'GRB7', 'PIK3R1', 'PIK3CB', 'PIK3CA', 'PIK3R2', 'PTPN11']"
ANGPT2	['TEK']
ANGPT4	['TEK']
ANGPTL8	['ANGPTL3']
ANK1	"['ACTG1', 'SPTA1', 'ACTB', 'SPTAN1', 'L1CAM', 'NFASC', 'NRCAM', 'SCN5A', 'KCNQ3', 'SCN1B', 'KCNQ2']"
ANK2	"['SPTA1', 'ACTG1', 'ACTB', 'SPTAN1', 'L1CAM', 'NFASC', 'NRCAM', 'SCN1B', 'KCNQ2', 'SCN5A', 'KCNQ3']"
ANKRD27	"['GDI2', 'RAB21', 'CHM', 'GDI1', 'CHML']"
ANKRD28	"['PPP6R3', 'PPP6R1', 'PPP6C']"
ANPEP	"['ANPEP', 'AGT']"
ANTXR1	"['P15917', 'P40136', 'P13423', 'ANTXR1']"
ANTXR2	"['P40136', 'P15917', 'P13423', 'ANTXR2']"
ANXA1	"['FPR3', 'ANXA2']"
ANXA2	['ANXA2']
ANXA6	"['ANXA1', 'TRIM72', 'ANXA2', 'CAV3', 'DYSF']"
AOC1	['AOC1']
AOC3	['AOC3']
AOX1	['AOX1']
AP1B1	"['CLTA', 'HLA-DQA2', 'CLTC', 'HLA-DQA1', 'DNM2', 'HLA-DRA', 'CD74', 'HLA-DPA1', 'AP1S1', 'AP1S2', 'AP1M2', 'AP1S3', 'AP1M1', 'AP1G1', 'CLVS2', 'CLVS1', 'HLA-A', 'B2M']"
AP1G1	"['HLA-DRA', 'CLTA', 'HLA-DPA1', 'HLA-DQA1', 'CLTC', 'DNM2', 'CD74', 'HLA-DQA2', 'AP1M1', 'AP1M2', 'AP1S2', 'AP1S3', 'AP1S1', 'AP1B1', 'CLVS1', 'CLVS2', 'HLA-A', 'B2M']"
AP1G2	['CHMP2A']
AP1M1	"['HLA-DPA1', 'CLTA', 'HLA-DQA2', 'DNM2', 'HLA-DQA1', 'CD74', 'HLA-DRA', 'CLTC', 'AP1G1', 'AP1S3', 'AP1S1', 'AP1S2', 'AP1B1', 'CLVS1', 'CLVS2', 'B2M', 'HLA-A']"
