Gene_Name	Interactions
EHMT2	"['MAX', 'E2F6', 'MGA', 'TFDP1', 'CBX3', 'EHMT1', 'ERCC6', 'TP53', 'HIST1H3F', 'HIST2H3D', 'H3F3B', 'HIST2H4A']"
EIF1AX	"['EIF2S3', 'EIF2S1', 'EIF2S2', 'EIF1AX', 'EIF4G1', 'EIF4H', 'PABPC1', 'EIF4A1', 'EIF4E', 'EIF4B', 'EIF4A2']"
EIF2AK1	"['EIF2AK1', 'EIF2S1', 'EIF2S2', 'EIF2S3']"
EIF2AK3	"['EIF2AK3', 'HSPA5', 'EIF2S1', 'EIF2S2', 'EIF2S3']"
EIF2AK4	"['EIF2AK4', 'GCN1', 'EIF2S3', 'EIF2S1', 'EIF2S2']"
EIF2S1	"['ABCF1', 'EIF2S2', 'EIF4B', 'PABPC1', 'EIF4A2', 'EIF4H', 'EIF4E', 'EIF4A1', 'EIF4G1']"
EIF2S2	"['ABCF1', 'EIF4A2', 'EIF4B', 'EIF4A1', 'EIF4G1', 'PABPC1', 'EIF4H', 'EIF4E']"
EIF2S3	"['ABCF1', 'EIF2S2', 'EIF2S1', 'EIF4A2', 'EIF4B', 'EIF4H', 'PABPC1', 'EIF4E', 'EIF4G1', 'EIF4A1']"
EIF4A1	"['EIF4B', 'EIF4H', 'EIF4A2', 'EIF4E', 'EIF2S1', 'EIF2S2', 'EIF2S3', 'EIF1AX', 'PABPC1']"
EIF4A2	"['EIF4H', 'EIF4B', 'EIF4E', 'EIF2S1', 'EIF2S2', 'EIF2S3', 'EIF1AX', 'PABPC1']"
EIF4A3	"['MAGOH', 'MAGOHB', 'CASC3', 'RBM8A', 'RNPS1', 'UPF2']"
EIF4B	"['EIF2S2', 'EIF2S3', 'EIF1AX', 'EIF2S1', 'PABPC1']"
EIF4E	"['EIF4B', 'EIF4H', 'EIF4A1', 'EIF4A2', 'EIF4A3', 'EIF4G1', 'EIF4G2', 'EIF4G3', 'SLBP', 'EIF2S2', 'EIF2S3', 'EIF1AX', 'EIF2S1', 'PABPC1', 'ALYREF', 'NXF1']"
EIF4E2	"['EIF4A2', 'EIF4G2', 'EIF4A3', 'EIF4G1', 'EIF4E3', 'EIF4A1', 'EIF4E', 'EIF4G3', 'HERC5', 'UBE2L6', 'ISG15', 'ARIH1']"
EIF4E3	"['EIF4G2', 'EIF4G3', 'EIF4A3', 'EIF4A2', 'EIF4G1', 'EIF4A1']"
EIF4EBP1	['EIF4E']
EIF4G1	"['EIF4H', 'EIF4B', 'EIF4A2', 'EIF4A1', 'EIF4A3', 'NCBP2', 'PABPC1', 'NCBP1', 'EIF4E', 'EIF2S3', 'EIF2S2', 'EIF1AX', 'EIF2S1']"
EIF4G2	"['EIF4A3', 'EIF4A2', 'EIF4A1']"
EIF4G3	"['EIF4A3', 'EIF4A2', 'EIF4A1']"
EIF4H	"['EIF4B', 'EIF1AX', 'EIF2S2', 'EIF2S3', 'EIF2S1', 'PABPC1']"
ELANE	"['NID1', 'P10493']"
ELL	"['ZC3H8', 'ICE1']"
ELL2	"['ZC3H8', 'ICE1']"
ELL3	"['ZC3H8', 'ICE1']"
ELMO1	"['DOCK1', 'PXN', 'RAC1']"
ELMO2	"['DOCK1', 'PXN', 'RAC1']"
ELN	"['ELN', 'MFAP1', 'MFAP3', 'VTN', 'MFAP4']"
ELOB	"['CUL5', 'ELOC', 'RBX1', 'ELOA2', 'ELOA', 'ELOA3B', 'EGLN1', 'LIMD1', 'EGLN3', 'VHL', 'CUL2', 'HIF1A', 'EPAS1', 'HIF3A']"
ELOC	"['ELOA3B', 'ELOA', 'ELOA2', 'EGLN1', 'LIMD1', 'EGLN3', 'RBX1', 'CUL2', 'HIF3A', 'HIF1A', 'EPAS1']"
ELP1	"['ELP2', 'ELP3', 'ELP6', 'ELP5', 'ELP4', 'HIST2H4A']"
ELP2	"['ELP5', 'ELP6', 'ELP4', 'HIST2H4A']"
ELP3	"['ELP2', 'ELP6', 'ELP5', 'ELP4', 'HIST2H4A']"
ELP4	"['ELP5', 'ELP6', 'HIST2H4A']"
ELP5	['HIST2H4A']
ELP6	"['ELP5', 'HIST2H4A']"
EMB	['SLC16A7']
EMD	"['BANF1', 'LMNA']"
EME1	"['SLX4', 'SLX1B', 'RAD51C', 'XRCC3']"
EMILIN1	"['EMILIN1', 'VTN', 'MFAP4', 'MFAP1', 'MFAP3', 'ELN', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5']"
EMILIN2	['EMILIN2']
EMILIN3	['EMILIN3']
EML4	"['EML4', 'NUDC']"
ENAH	"['FYB1', 'LCP2']"
ENO1	['ENO1']
ENO2	['ENO2']
ENO3	['ENO3']
ENPEP	"['ENPEP', 'AGT']"
ENPP1	['ENPP1']
ENPP2	['ENPP2']
ENPP3	['ENPP3']
ENSA	['PPP2R2D']
ENTPD1	['ENTPD1']
EP300	"['SUMO1', 'BRD2', 'KAT2B', 'HIST1H3F', 'HIST2H3D', 'HIST2H4A', 'HIST1H2AC', 'ESR1', 'H3F3B', 'BRD7', 'NR1H2', 'RXRB', 'RXRA', 'NR1H3', 'NCOA1', 'GREB1', 'HIF1A', 'HIF3A', 'EPAS1', 'ARNT', 'ING2', 'MYC', 'MYSM1', 'RORA', 'PPARGC1A', 'TP53', 'PRMT5', 'FOXM1', 'MAML2', 'MAML1', 'MAML3', 'CCND1', 'DNAJB1', 'HSPA1B', 'HSF1', 'HSPA8', 'UBE2I', 'TXN']"
EPAS1	"['ELOB', 'VHL', 'CUL2', 'ELOC', 'RBX1', 'UBE2D3', 'UBE2D2', 'UBE2D1']"
EPC1	"['EZH2', 'EED', 'RBBP4', 'SUZ12', 'RBBP7']"
EPCAM	['EPCAM']
EPHB2	['L1CAM']
EPHX2	['EPHX2']
EPM2A	"['EPM2A', 'PPP1R3C', 'GYG1', 'GYS1']"
EPN1	['UBQLN2']
EPN2	['UBQLN2']
EPO	"['LYN', 'IRS2', 'JAK2', 'EPOR', 'GAB1', 'PLCG1', 'PLCG2', 'STAT5A', 'STAT5B', 'RAPGEF1', 'CRKL', 'SOS1', 'GRB2', 'VAV1']"
EPOR	"['GAB1', 'PLCG2', 'PLCG1', 'STAT5B', 'STAT5A', 'CRKL', 'RAPGEF1', 'GRB2', 'SOS1', 'VAV1', 'EPOR', 'IRS2', 'LYN', 'EPO']"
EPPIN	"['SEMG1', 'LTF']"
EPRS	['DUS2']
EPS15	['UBQLN2']
ERBB2	"['EGFR', 'EGF', 'GAB1', 'GRB2', 'SOS1', 'PLCG1', 'HSP90AA1', 'CDC37', 'ERBIN', 'NRG1', 'ERBB3', 'NRG2', 'ERBB2', 'NRG4', 'BTC', 'EREG', 'ERBB4', 'HBEGF', 'RNF41', 'Q62077', 'PLXNB1', 'SEMA4D', 'ARHGEF11', 'ARHGEF12', 'SHC1', 'P98083', 'MATK', 'MEMO1', 'DIAPH1', 'RHOA', 'PTK6', 'NRAS', 'KRAS', 'HRAS']"
ERBB3	"['ERBB2', 'RNF41', 'GRB2', 'SOS1', 'SHC1', 'MATK', 'MEMO1', 'RHOA', 'DIAPH1', 'PTK6', 'ERBIN', 'CDC37', 'HSP90AA1', 'KRAS', 'NRAS', 'HRAS']"
ERBB4	"['ERBB2', 'ITCH', 'WWP1', 'ERBB4', 'EGF', 'EGFR', 'NRG1', 'NRG2', 'ERBB3', 'HBEGF', 'BTC', 'NRG4', 'EREG', 'ESR1', 'Q99K90', 'Q60974', 'YAP1', 'STAT5A', 'SOS1', 'GRB2', 'GABRB3', 'GABRG2', 'GABRB1', 'GABRG3', 'GABRQ', 'GABRA1', 'GABRB2', 'SHC1', 'MATK', 'MEMO1', 'RHOA', 'DIAPH1', 'PTK6', 'KRAS', 'NRAS', 'HRAS']"
ERBIN	"['ERBB2', 'CDC37', 'HSP90AA1', 'ERBB3', 'NRG2', 'ERBB4', 'NRG1', 'EGF', 'BTC', 'HBEGF', 'EGFR', 'ERBIN', 'NRG4', 'EREG']"
ERCC1	"['ERCC4', 'RPA3', 'RPA1', 'ERCC5', 'RPA2', 'RAD51', 'RAD52']"
ERCC3	"['GTF2F2', 'GTF2B', 'GTF2A2', 'GTF2A1', 'GTF2E2', 'GTF2F1', 'GTF2E1']"
ERCC4	"['RPA2', 'ERCC5', 'RPA1', 'RPA3', 'RAD52', 'RAD51']"
ERCC6	"['ERCC6', 'Q62187']"
ERCC8	"['CUL4B', 'CUL4A', 'RBX1', 'ERCC6']"
EREG	"['ERBB2', 'EGF', 'EGFR', 'NRG2', 'ERBB3', 'NRG1', 'ERBB4', 'EREG', 'SOS1', 'GRB2', 'SHC1', 'MATK', 'MEMO1', 'RHOA', 'DIAPH1', 'PTK6', 'NRAS', 'HRAS', 'KRAS']"
ERLEC1	"['SEL1L', 'VCP', 'SYVN1', 'DERL2', 'SHH']"
ERLIN1	['ERLIN2']
ERLIN2	"['PLCG1', 'FRS2', 'PIK3CA', 'ERLIN2', 'SOS1', 'GRB2', 'KRAS', 'NRAS', 'HRAS']"
ERN1	['ERN1']
ERO1A	['INS']
ESCO1	"['PDS5B', 'PDS5A', 'WAPL']"
ESCO2	"['PDS5B', 'WAPL', 'PDS5A']"
ESD	['ESD']
ESPL1	['ESPL1']
ESR1	"['ATAD2', 'CARM1', 'ESR1', 'ESR2', 'PPID', 'HSP90AB1', 'HSP90AA1', 'PTGES3', 'EP300', 'PRMT1', 'STRN', 'SRC', 'PIK3R1', 'PIK3CA', 'GNAI2', 'GNAT3', 'GNG2', 'GNB1', 'GNAI3', 'GNAI1', 'GTF2F2', 'GTF2F1', 'KDM1A', 'HIST2H3D', 'H3F3B', 'HIST1H2AC', 'HIST1H3F', 'HIST2H4A', 'OTUB1', 'GTF2A1', 'GTF2A2', 'SUMO1', 'UBE2I']"
ESR2	['ESR2']
ESRP1	['ESRP1']
ESRRA	['PPARGC1B']
ESYT2	['ESYT1']
ESYT3	"['ESYT2', 'ESYT1']"
ETF1	"['ETF1', 'GSPT2', 'GSPT1']"
ETFA	['ETFB']
ETFBKMT	['ETFB']
ETFDH	"['ETFB', 'ETFA']"
ETHE1	['SQOR']
ETNPPL	['ETNPPL']
ETV4	['NCOA3']
ETV6	['ETV6']
EVC	"['EVC2', 'SMO']"
EVC2	['SMO']
EVL	"['EVL', 'DIAPH1', 'RHOA', 'ACTG1', 'ACTB', 'MKL1']"
EVPL	"['PPL', 'TGM1', 'IVL']"
EXO1	"['ATR', 'ATRIP', 'RPA2', 'RPA3', 'RPA1', 'PCNA', 'PMS2', 'MSH2', 'MSH3', 'MLH1', 'MSH6']"
EXOSC10	"['MPHOSPH6', 'C1D']"
EXT2	['EXT1']
EYA3	"['ATM', 'H2AFX', 'HIST2H4A', 'HIST3H3', 'RAD50', 'NBN', 'KAT5', 'MRE11']"
EZH2	"['DNMT1', 'DNMT3A', 'DNMT3B', 'EED', 'AEBP2', 'MTF2', 'HIST2H4A', 'HIST2H3D', 'H3F3B', 'HIST1H3F']"
EZR	['L1CAM']
F10	"['F10', 'TFPI', 'F7', 'F2']"
F11	"['F11', 'F9']"
F11R	"['F11R', 'ITGB2', 'ITGAL', 'PARD6B', 'PARD6A', 'PRKCI', 'PARD6G', 'PARD3']"
F12	"['F12', 'GP5', 'GP1BA', 'GP9', 'GP1BB', 'F11']"
F13A1	"['F13A1', 'F13B']"
F13B	"['F13B', 'F13A1']"
F1RGR1	"['CAMK1', 'CALM3']"
F2	"['SERPINE2', 'F2', 'SERPIND1', 'THBD', 'SERPINC1', 'PROC', 'PROCR', 'F8', 'VWF', 'IGFALS', 'IGF1', 'IGF2', 'IGFBP3', 'C5', 'F2R', 'F2RL2', 'F2RL3', 'F5', 'GP5', 'GP9', 'GP1BA', 'F11', 'GP1BB', 'F13A1', 'F13B', 'FGA', 'FGB', 'FGG']"
F2R	"['ARRB1', 'MAPK1', 'MAPK3', 'ARRB2', 'PROC', 'PROCR', 'GNG2', 'GNB1', 'GNA12', 'GNA13', 'GNA15', 'GNA11', 'GNA14', 'GNAQ', 'F2', 'F2RL2', 'F2R', 'F2RL3']"
F2RL1	['F2']
F2RL2	"['GNA13', 'GNB1', 'GNG2', 'GNA12', 'GNA14', 'GNA11', 'GNA15', 'GNAQ', 'F2', 'F2RL2', 'F2R', 'F2RL3']"
F2RL3	"['GNG2', 'GNA12', 'GNA13', 'GNB1', 'GNA11', 'GNAQ', 'GNA15', 'GNA14', 'F2', 'F2R', 'F2RL2', 'F2RL3']"
F3	"['F10', 'TFPI', 'F9', 'F7']"
F5	"['MCFD2', 'LMAN1', 'F10', 'F5', 'F2']"
F5HB40	"['F5HIG1', 'CEBPD', 'Q6SW77', 'F5HG51', 'F5HC97', 'F5HEN8', 'F5HDQ6']"
F5HEN8	"['F5HEN8', 'F5HC97', 'Q6SW77', 'F5HDQ6', 'CEBPD']"
F5HG51	"['F5HDQ6', 'F5HC97', 'Q6SW77', 'F5HIG1', 'F5HG51', 'CEBPD', 'F5HEN8']"
F5HHQ0	"['VPS4A', 'CHMP1A']"
F5HIG1	"['F5HC97', 'F5HDQ6', 'F5HIG1', 'Q6SW77', 'CEBPD', 'F5HEN8']"
F7	"['F3', 'F10', 'F7', 'TFPI', 'F9']"
F7DGW1	"['BDNF', 'F7DGW1', 'NTF3', 'NTF4']"
F8	"['F8', 'F9', 'PROS1', 'LMAN1', 'MCFD2', 'F10']"
F9	"['F9', 'F8', 'PROS1', 'F10']"
FABP6	['ALB']
FADD	"['FADD', 'CASP8', 'CFLAR', 'MAVS', 'RIPK1', 'TNFSF10', 'TNFRSF10B', 'TNFRSF10A', 'IKBKG', 'IKBKB', 'CHUK', 'CASP10']"
FAH	['FAH']
FAHD1	['FAHD1']
FAM114A2	['FAM114A2']
FAM131B	['FAM131B']
FAM20C	['FAM20A']
FAN1	['FAN1']
FANCD2	"['FANCI', 'RPA1', 'ATRIP', 'ATR', 'RPA2', 'RPA3', 'POLN']"
FANCI	"['RPA1', 'ATR', 'RPA3', 'RPA2', 'ATRIP', 'FANCD2', 'POLN']"
FANCM	['FAAP24']
FARP2	"['PIP5K1C', 'NRP1', 'PLXNA3', 'FYN', 'PLXNA2', 'PLXNA1', 'PLXNA4', 'RAC1', 'TLN1']"
FARSA	"['FARSA', 'FARSB']"
FARSB	['FARSB']
FAS	"['FAS', 'FADD', 'CASP8', 'CFLAR']"
FASLG	"['FAS', 'FASLG', 'FADD', 'CASP8', 'CFLAR']"
FASN	['FASN']
FBLN1	['FN1']
FBLN2	['FN1']
FBLN5	"['ELN', 'MFAP5', 'FBN2', 'FBN1', 'MFAP2']"
FBN1	"['FBN1', 'ELN', 'MFAP4', 'VTN', 'MFAP3', 'MFAP1', 'MFAP5', 'MFAP2', 'ITGB3', 'ITGAV']"
FBN2	"['FBN2', 'ELN', 'MFAP4', 'VTN', 'MFAP1', 'MFAP3', 'MFAP2', 'MFAP5']"
FBN3	['FBN3']
FBP1	['FBP1']
FBP2	['FBP2']
FBXL18	['SKP1']
FBXL5	"['CUL1', 'SKP1', 'NEDD8']"
FBXL7	"['AURKA', 'SKP1']"
FBXO5	"['CDC20', 'FZR1']"
FBXW11	"['CUL1', 'SKP1', 'REL', 'NFKBIA', 'NFKBIE', 'NFKBIB', 'NFKB1', 'RELA', 'BORA']"
FBXW7	"['RBX1', 'CUL1', 'Q01705', 'NOTCH1']"
FCER1A	"['FCER1A', 'FCER1G', 'SYK', 'GRB2', 'SOS1', 'GAB2', 'LAT2', 'SHC1']"
FCER1G	"['FCER1G', 'FCER1A', 'CLEC4D', 'CLEC4E', 'CLEC6A', 'SYK', 'GP6', 'LYN', 'PLCG2', 'SOS1', 'GRB2', 'SHC1', 'LAT2', 'GAB2']"
FCGR1A	"['CRK', 'ELMO1', 'DOCK1', 'ELMO2', 'CD3G', 'CD247', 'IGKC', 'IGHG3', 'IGHG1', 'IGHG2', 'IGHG4', 'NCR1', 'NCR3', 'PIK3R1', 'PIK3R2', 'PIK3CA', 'PIK3CB', 'SYK', 'PLCG1', 'PLCG2', 'VAV3', 'VAV1', 'VAV2']"
FCGR2A	"['CRK', 'DOCK1', 'ELMO2', 'ELMO1', 'PIK3CA', 'PIK3R1', 'PIK3CB', 'PIK3R2', 'IGHG3', 'IGHG1', 'IGHG4', 'IGHG2', 'IGKC', 'SYK', 'PLCG1', 'PLCG2', 'VAV3', 'VAV1', 'VAV2']"
FCGR3A	"['CRK', 'ELMO1', 'DOCK1', 'ELMO2', 'CD3G', 'CD247', 'IGHG1', 'IGHG3', 'Q4QD44', 'IGHG4', 'IGHG2', 'IGKC', 'PLCG1', 'PLCG2', 'VAV3', 'VAV1', 'VAV2', 'SYK', 'PIK3CA', 'PIK3R2', 'PIK3R1', 'PIK3CB']"
FCHO1	['FCHO1']
FCHO2	['FCHO2']
FCN1	"['FCN1', 'MASP2']"
FCN2	"['FCN2', 'MASP2']"
FCN3	['FCN3']
FDPS	['FDPS']
FDX1	"['FDXR', 'CYP11A1', 'FDX2', 'FDX1']"
FDX2	"['CYP11A1', 'FDXR', 'FDX2']"
FDXR	"['FDX1', 'FDX2', 'FDXR']"
FECH	['FECH']
FEN1	"['POLD3', 'POLD4', 'RPA2', 'RPA3', 'POLD1', 'PCNA', 'POLD2', 'RPA1', 'RAD50', 'PARP1', 'MRE11', 'RBBP8', 'NBN', 'POLB', 'APEX1', 'PRIM2', 'POLA1', 'POLA2', 'PRIM1']"
FER	"['KIT', 'KITLG']"
FERMT2	['FBLIM1']
FES	"['PLXNA1', 'PLXNA3', 'PLXNA4', 'FYN', 'PLXNA2', 'SEMA3A', 'NRP1', 'PAK1', 'PAK3', 'PAK2', 'RAC1', 'KITLG', 'KIT']"
FGA	"['FGA', 'FGG', 'RAP1B', 'APBB1IP', 'RAP1A', 'TLN1', 'ITGA2B', 'ITGB3', 'CSK', 'SRC', 'GRB2', 'SOS1', 'LY96', 'TLR4', 'PTK2', 'SYK', 'FGB']"
FGB	"['FGA', 'FGG', 'FGB', 'RAP1B', 'ITGB3', 'RAP1A', 'APBB1IP', 'CSK', 'ITGA2B', 'SRC', 'TLN1', 'GRB2', 'SOS1', 'LY96', 'TLR4', 'PTK2', 'SYK']"
FGF1	['FGFR2']
FGF10	"['FGFR2', 'FGFBP1']"
FGF19	"['FGF19', 'FGFR4', 'KLB', 'FRS3', 'FRS2', 'GRB2', 'SOS1', 'PTPN11', 'PLCG1', 'HRAS', 'KRAS', 'NRAS']"
FGF2	"['FGFR2', 'FGF2', 'FGF9', 'FGF6', 'FGFBP1']"
FGF22	['FGFBP1']
FGF23	"['FRS2', 'FRS3', 'CBL', 'GRB2', 'SHC1', 'FGF23', 'KL', 'PIK3R1', 'GAB1', 'FGFR1', 'PLCG1', 'NRAS', 'KRAS', 'HRAS']"
FGF6	"['FGFR2', 'FGF6', 'FGF9']"
FGF7	"['FGFR2', 'FGFBP1']"
FGF9	"['FGFR2', 'FGF9']"
FGFR1	"['PLCG1', 'FRS2', 'PIK3CA', 'FRS3', 'CBL', 'GRB2', 'SHC1', 'FGFR1', 'KL', 'FGF23', 'GAB1', 'PIK3R1', 'SOS1', 'ANOS1', 'L1CAM', 'NRAS', 'KRAS', 'HRAS', 'ERLIN2']"
FGFR1OP	"['FGFR1OP', 'STAT3', 'STAT1']"
FGFR1OP2	"['FGFR1OP2', 'STAT5A', 'STAT5B']"
FGFR2	"['FGFR2', 'FRS3', 'FRS2', 'CBL', 'GRB2', 'SOS1', 'PTPN11', 'FGF2', 'FGF1', 'PLCG1', 'NRAS', 'KRAS', 'HRAS', 'FGF9', 'FGF6']"
FGFR3	"['FGFR3', 'PLCG1', 'FRS2', 'FRS3', 'SHC1', 'PIK3CA', 'SOS1', 'GRB2', 'PTPN11', 'KRAS', 'HRAS', 'NRAS']"
FGFR4	"['FGFR4', 'FRS2', 'PLCG1', 'FRS3', 'GRB2', 'SOS1', 'PTPN11', 'FGF19', 'KLB', 'KRAS', 'NRAS', 'HRAS']"
FGFRL1	['FGFRL1']
FGG	"['FGG', 'RAP1B', 'ITGA2B', 'TLN1', 'SRC', 'CSK', 'APBB1IP', 'RAP1A', 'ITGB3', 'GRB2', 'SOS1', 'TLR4', 'LY96', 'PTK2', 'SYK', 'FGA']"
FH	['FH']
FIG4	"['VAC14', 'PIKFYVE', 'Q9Z1T6']"
FIP1L1	['FIP1L1']
FKBP1A	"['FKBP1A', 'TGFBR2', 'TGFB1']"
FKBP1B	['FKBP1B']
FKBP4	"['PTGES3', 'HSP90AA1', 'HSF1', 'HSP90AB1']"
FKBP5	"['PTGES3', 'HSP90AB1', 'HSP90AA1', 'FKBP4']"
FKBPL	"['HSP90AB1', 'HSP90AA1']"
FLG	['FLG']
FLNA	"['FLNA', 'FBLIM1', 'RNASEL']"
FLNB	['ISG15']
FLNC	['FBLIM1']
FLRT1	"['FGFR1', 'KL', 'FGF23']"
FLRT2	"['FGF23', 'FGFR1', 'KL']"
FLRT3	"['FGF23', 'KL', 'FGFR1']"
FLT1	"['NRP2', 'FLT1']"
FLT3	"['FLT3', 'FLT3LG', 'GRB2', 'GAB2', 'SOS1', 'PTPN11']"
FLT3LG	"['GRB2', 'GAB2', 'SOS1', 'PTPN11', 'FLT3LG']"
FLT4	"['FLT4', 'VEGFD', 'VEGFC']"
FMNL1	"['CDC42', 'FMNL1', 'RAC1', 'SRGAP2']"
FMNL2	"['CDC42', 'FMNL2', 'RHOC']"
FMNL3	"['FMNL3', 'ACTG1', 'ACTB']"
FMOD	['P09533']
FN1	"['FN1', 'RAP1A', 'APBB1IP', 'SRC', 'ITGB3', 'RAP1B', 'CSK', 'ITGA2B', 'TLN1', 'GRB2', 'SOS1', 'PTK2', 'SYK']"
FNBP1	['FNBP1']
FNBP1L	['FNBP1L']
FNIP1	['FLCN']
FNIP2	['FLCN']
FNTA	['GNGT1']
FNTB	"['FNTA', 'GNGT1']"
FOLH1	['FOLH1']
FOLR1	"['TMED2', 'TMED10']"
FOS	"['ESR1', 'JUN']"
FOSB	['ESR1']
FOXA1	"['CARM1', 'HIST1H3F', 'HIST2H4A', 'GATA3', 'H3F3B', 'HIST2H3D', 'PRMT1', 'ESR1', 'EP300', 'GTF2A2', 'GTF2A1', 'HDAC1', 'YY1']"
FOXG1	"['SMAD3', 'SMAD4', 'FOXO3', 'SMAD2']"
FOXH1	"['SMAD4', 'SMAD2', 'SMAD3']"
FOXK1	"['HCFC1', 'OGT', 'BAP1']"
FOXK2	"['OGT', 'HCFC1', 'BAP1']"
FOXL2	"['SUMO1', 'UBE2I']"
FOXM1	['PLK1']
FOXO1	"['NFYB', 'CREBBP', 'NFYC', 'EP300', 'NFYA', 'SMAD4', 'SMAD2', 'SMAD3', 'NR3C1', 'PPARGC1A', 'HDAC2', 'SIN3A', 'HDAC1', 'YWHAZ', 'YWHAQ', 'YWHAB', 'YWHAG']"
FOXO3	"['NFYA', 'NFYB', 'NFYC', 'CREBBP', 'EP300', 'SMAD4', 'SMAD2', 'SMAD3']"
FOXO4	"['CREBBP', 'EP300', 'SMAD4', 'SMAD2', 'SMAD3', 'YWHAZ', 'FOXO4', 'TXN']"
FOXP3	['NFATC2']
FRK	['PTEN']
FRS2	"['FGFR1', 'ERLIN2', 'PIK3CA', 'KL', 'FGF23', 'GRB2', 'CBL', 'FGFR2', 'SOS1', 'PTPN11', 'FGFR3', 'FGFR4', 'FGF19', 'KLB', 'PIK3R1', 'GAB1', 'NGF', 'NTRK1', 'RAPGEF1', 'BDNF', 'NTF4', 'NTRK2', 'NRAS', 'KRAS', 'HRAS']"
FRS3	"['KL', 'FGF23', 'FGFR1', 'FGFR2', 'GRB2', 'SOS1', 'PTPN11', 'FGFR3', 'FGF19', 'FGFR4', 'KLB', 'NTRK2', 'NTF4', 'BDNF', 'KRAS', 'NRAS', 'HRAS']"
FSHR	"['FSHB', 'CGA']"
FST	['FST']
FSTL3	['FSTL3']
FTCD	['FTCD']
FTH1	"['FTH1', 'FTL', 'SH3D19', 'PUM1', 'CLINT1', 'SCARA5']"
FTL	"['FTL', 'FTH1', 'SH3D19', 'PUM1', 'CLINT1', 'SCARA5']"
FTMT	['FTMT']
FUCA1	['FUCA1']
FUNDC1	"['MAP1LC3B', 'MAP1LC3A', 'ATG5', 'ATG12']"
FUOM	['FUOM']
FURIN	"['MMP14', 'MMP16', 'MMP11', 'NODAL', 'P04578', 'ADAM17', 'FBN2', 'FBN1', 'NOTCH1', 'ANTXR1', 'P13423', 'ANTXR2', 'BGLAP', 'GAS6', 'F9', 'F7', 'F10', 'PROC', 'PROS1', 'PROZ', 'F2', 'TGFB1', 'FLG', 'LPL', 'GPIHBP1', 'PDGFA', 'PDGFB', 'NGF']"
FXN	"['FXN', 'ISCU', 'NFS1']"
FXR1	['FXR1']
FYB1	"['SKAP2', 'SIRPA', 'CD47']"
FYN	"['FLT3', 'FLT3LG', 'DOCK3', 'GRIN2B', 'SYK', 'VAV3', 'VAV2', 'NGEF', 'TIAM1', 'EFNB2', 'EFNB1', 'EFNB3', 'GIT1', 'ARHGEF7', 'RAC1', 'PAK3', 'PAK1', 'PIK3CB', 'PIK3R1', 'PIK3CD', 'GRB2', 'PIK3CA', 'CBL', 'SPTAN1', 'PTPRA', 'SPTA1', 'P04601', 'CDK5', 'CDK5R1', 'GP6', 'LYN', 'FCER1G', 'SOS1', 'PTK2', 'NCAM1', 'NCK2', 'NCK1', 'NPHS1', 'KIRREL1', 'PLXNA4', 'NRP1', 'PLXNA1', 'PLXNA3', 'PLXNA2', 'DCC', 'NTN1', 'TRIO', 'DOCK1', 'CDC42', 'ABLIM2', 'ABLIM3', 'ABLIM1', 'PIK3R2', 'SEMA3A', 'PAK2', 'KDR', 'VEGFA', 'FYN', 'LCK', 'VAV1', 'CD80', 'CD86', 'CD28', 'RELN', 'VLDLR', 'DAB1', 'SH3KBP1', 'CLEC4E', 'CLEC6A', 'IGHD', 'IGKC', 'CD79B', 'CD79A', 'IGHM', 'LAT2', 'SHC1', 'GAB2', 'FES', 'WASL']"
FZD1	"['Q3LS18', 'LRP6']"
FZD2	['WNT5A']
FZD4	"['ARRB1', 'ARRB2', 'LRP6', 'WNT3A', 'DVL2', 'WNT5A', 'AP2S1', 'AP2A2', 'CLTC', 'AP2B1', 'AP2A1', 'AP2M1']"
FZD5	"['P28026', 'P22725', 'WNT5A']"
FZD7	"['P51141', 'NOX1', 'NOXO1', 'CYBA', 'NOXA1', 'DVL2', 'RAC1', 'MAPK8']"
FZR1	"['CDK2', 'EHMT1', 'EHMT2', 'FBXO5', 'SKP2']"
G6PD	['G6PD']
GAA	['GYG1']
GAB1	"['SHC1', 'ARTN', 'GDNF', 'GFRA1', 'GRB2', 'NRTN', 'RET', 'GFRA4', 'GFRA2', 'PSPN', 'GFRA3', 'PTPN11', 'PIK3CA', 'PIK3R1', 'PIK3CD', 'PIK3CB', 'FGFR1', 'FRS2', 'ERLIN2', 'FGF23', 'KL', 'FGFR2', 'FGFR3', 'FGFR4', 'KLB', 'FGF19', 'EGFR', 'IRS2', 'EPO', 'LYN', 'JAK2', 'EPOR', 'HGF', 'MET', 'CRKL', 'CRK', 'GGA3', 'ARF6', 'RAPGEF1', 'EGF']"
GAB2	"['GFRA4', 'RET', 'GFRA3', 'ARTN', 'NRTN', 'GDNF', 'GFRA1', 'SHC1', 'GFRA2', 'PSPN', 'GRB2', 'PTPN11', 'PIK3CB', 'PIK3R1', 'PIK3CA', 'PIK3CD', 'KIT', 'KITLG', 'CSF2RB', 'CSF2RA', 'CSF2', 'JAK2', 'IL3RA', 'IL3', 'LAT2', 'SOS1', 'BCR']"
GABBR2	['GABBR1']
GABRA1	['GABRA1']
GABRB1	"['GABRB1', 'GABRB3', 'GABRA1']"
GABRB2	"['GABRB1', 'GABRA1', 'GABRB3', 'GABRB2']"
