ABHD1,18,18,18,18,0,18,18,0,18
ABHD10,10,10,10,10,0,10,10,0,10
ABHD11,20,20,20,20,0,20,20,0,20
ABHD11-AS1,1,1,1,1,0,1,1,0,1
ABHD12,18,18,18,18,0,18,18,0,18
ABHD12B,10,10,10,10,0,10,10,0,10
ABHD13,10,10,10,10,0,10,10,0,10
ABHD14A,17,17,17,17,0,17,17,0,17
ABHD14A-ACY1,2,2,2,2,0,2,2,0,2
ABHD14B,19,19,19,19,0,19,19,0,19
ABHD15,18,18,18,18,0,18,18,0,18
ABHD16A,15,15,15,15,0,15,15,0,15
ABHD16B,11,11,11,11,0,11,11,0,11
ABHD17A,13,13,13,13,0,13,13,0,13
ABHD17AP4,3,3,3,3,0,3,3,0,3
ABHD17B,19,19,19,19,0,19,19,0,19
ABHD17C,15,15,15,15,0,15,15,0,15
ABHD18,2,2,2,2,0,2,2,0,2
ABHD2,27,27,27,27,0,27,27,0,27
ABHD3,25,25,25,25,0,25,25,0,25
ABHD4,25,25,25,25,0,25,25,0,25
ABHD5,28,28,28,28,0,28,28,0,28
ABHD6,15,15,15,15,0,15,15,0,15
ABHD8,12,12,12,12,0,12,12,0,12
ABI1,23,23,23,23,0,23,23,0,23
ABI2,23,23,23,23,0,23,23,0,23
ABI3,3,3,3,3,0,3,3,0,3
ABI3BP,23,23,23,23,0,23,23,0,23
ABITRAM,11,11,11,11,0,11,11,0,11
ABL1,24,24,24,24,0,24,24,0,24
ABL2,29,29,29,29,0,29,29,0,29
ABLIM1,29,29,29,29,0,29,29,0,29
ABLIM1A,1,1,1,1,0,1,1,0,1
ABLIM2,25,25,25,25,0,25,25,0,25
ABLIM3,22,22,22,22,0,22,22,0,22
ABO,4,4,4,4,0,4,4,0,4
ABO2,1,1,1,1,0,1,1,0,1
ABR,16,16,16,16,0,16,16,0,16
ABRA,5,5,5,5,0,5,5,0,5
ABRAB,3,3,3,3,0,3,3,0,3
ABRACL,24,24,24,24,0,24,24,0,24
ABRAXAS1,11,11,11,11,0,11,11,0,11
ABRAXAS2,14,14,14,14,0,14,14,0,14
ABT-1,1,1,1,1,0,1,1,0,1
ABT-6,5,5,5,5,0,5,5,0,5
ABT1,13,13,13,13,0,13,13,0,13
ABTB1,15,15,15,15,0,15,15,0,15
ABTB2,21,21,21,21,0,21,21,0,21
ABU-1,1,1,1,1,0,1,1,0,1
ABU-10,1,1,1,1,0,1,1,0,1
ABU-11,1,1,1,1,0,1,1,0,1
ABU-6,1,1,1,1,0,1,1,0,1
ABU-7,1,1,1,1,0,1,1,0,1
ABU-8,1,1,1,1,0,1,1,0,1
ABU-9,1,1,1,1,0,1,1,0,1
AC3,2,2,2,2,0,2,2,0,2
ACAA1,24,24,24,24,0,24,24,0,24
ACAA1A,8,8,8,8,0,8,8,0,8
ACAA1B,3,3,3,3,0,3,3,0,3
ACAA2,27,27,27,27,0,27,27,0,27
ACACA,32,32,32,32,0,32,32,0,32
ACACB,31,31,31,31,0,31,31,0,31
ACAD10,17,17,17,17,0,17,17,0,17
ACAD11,17,17,17,17,0,17,17,0,17
ACAD12,6,6,6,6,0,6,6,0,6
ACAD8,20,20,20,20,0,20,20,0,20
ACAD9,18,18,18,18,0,18,18,0,18
ACADL,24,24,24,24,0,24,24,0,24
ACADM,35,35,35,35,0,35,35,0,35
ACADS,10,10,10,10,0,10,10,0,10
ACADSB,18,18,18,18,0,18,18,0,18
ACADVL,19,19,19,19,0,19,19,0,19
ACAN,17,17,17,17,0,17,17,0,17
ACAP1,5,5,5,5,0,5,5,0,5
ACAP2,15,15,15,15,0,15,15,0,15
ACAP3,13,13,13,13,0,13,13,0,13
ACAP3A,1,1,1,1,0,1,1,0,1
ACAP3B,1,1,1,1,0,1,1,0,1
ACAT1,25,25,25,25,0,25,25,0,25
ACAT2,32,32,32,32,0,32,32,0,32
ACAT2L1,3,3,3,3,0,3,3,0,3
ACAT3,12,12,12,12,0,12,12,0,12
ACBD3,22,22,22,22,0,22,22,0,22
ACBD4,13,13,13,13,0,13,13,0,13
ACBD5,19,19,19,19,0,19,19,0,19
ACBD6,13,13,13,13,0,13,13,0,13
ACBD7,17,17,17,17,0,17,17,0,17
ACC,9,9,9,9,0,9,9,0,9
ACCN3,1,1,1,1,0,1,1,0,1
ACCOAS,25,25,25,25,0,25,25,0,25
ACCS,11,11,11,11,0,11,11,0,11
ACCSL,12,12,12,12,0,12,12,0,12
ACD,7,7,7,7,0,7,7,0,7
ACD-1,1,1,1,1,0,1,1,0,1
ACDH-5,1,1,1,1,0,1,1,0,1
ACDH-6,1,1,1,1,0,1,1,0,1
ACDH-7,2,2,2,2,0,2,2,0,2
ACDH-8,4,4,4,4,0,4,4,0,4
ACE,27,27,27,27,0,27,27,0,27
ACE-2,1,1,1,1,0,1,1,0,1
ACE1,1,1,1,1,0,1,1,0,1
ACE2,22,22,22,22,0,22,22,0,22
ACE3,1,1,1,1,0,1,1,0,1
ACER,7,7,7,7,0,7,7,0,7
ACER1,1,1,1,1,0,1,1,0,1
ACER2,9,9,9,9,0,9,9,0,9
ACER3,12,12,12,12,0,12,12,0,12
ACHE,80,80,80,80,0,80,80,0,80
ACIN1,34,34,34,34,0,34,34,0,34
ACIN1A,1,1,1,1,0,1,1,0,1
ACKR1,16,16,16,16,0,16,16,0,16
ACKR2,2,2,2,2,0,2,2,0,2
ACKR3,43,43,43,43,0,43,43,0,43
ACKR4,17,17,17,17,0,17,17,0,17
ACKR4A,1,1,1,1,0,1,1,0,1
ACKR4B,1,1,1,1,0,1,1,0,1
ACL-14,1,1,1,1,0,1,1,0,1
ACL-6,1,1,1,1,0,1,1,0,1
ACLY,43,43,43,43,0,43,43,0,43
ACLY-1,1,1,1,1,0,1,1,0,1
ACLYA,1,1,1,1,0,1,1,0,1
ACMSD,12,12,12,12,0,12,12,0,12
ACN9,10,10,10,10,0,10,10,0,10
ACNAT2,17,17,17,17,0,17,17,0,17
ACO1,24,24,24,24,0,24,24,0,24
ACO2,35,35,35,35,0,35,35,0,35
ACOD1,3,3,3,3,0,3,3,0,3
ACOD1LB.L,9,9,9,9,0,9,9,0,9
ACOT1,27,27,27,27,0,27,27,0,27
ACOT10,8,8,8,8,0,8,8,0,8
ACOT11,4,4,4,4,0,4,4,0,4
