	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.992288961038961
1	-1	-1	0.9839901477832512
2	-1	-1	0.9967159277504105
3	-1	-1	0.9887110016420362
4	-1	-1	0.9854269293924466
5	-1	-1	0.9854269293924466
6	-1	-1	0.9782430213464696
7	-1	-1	0.9956112852664577
8	-1	-1	0.9736677115987461
9	-1	-1	0.9776384535005225
10	-1	-1	0.9928977272727273
11	-1	-1	0.9751642036124795
12	-1	-1	0.9751642036124795
13	-1	-1	0.9919950738916257
14	-1	-1	0.979679802955665
15	-1	-1	0.9864532019704433
16	-1	-1	0.9893416927899686
17	-1	-1	0.9727011494252873
18	-1	-1	0.9937304075235109
19	-1	-1	0.9839080459770114
20	-1	-1	0.9928977272727273
21	-1	-1	0.9950738916256158
22	-1	-1	0.9712643678160919
23	-1	-1	0.983784893267652
24	-1	-1	0.9770114942528735
25	-1	-1	0.9665435139573071
26	-1	-1	0.9960292580982236
27	-1	-1	0.9829638752052545
28	-1	-1	0.9857889237199582
29	-1	-1	0.9968652037617556
30	-1	-1	0.9727011494252873
31	-1	-1	0.9963054187192117
32	-1	-1	0.981737012987013
33	-1	-1	0.9926108374384237
34	-1	-1	0.9913793103448276
35	-1	-1	0.9880952380952381
36	-1	-1	0.9981191222570533
37	-1	-1	0.9855799373040752
38	-1	-1	0.9930213464696223
39	-1	-1	0.9914315569487984
40	-1	-1	0.9874794745484401
41	-1	-1	0.9912743506493505
42	-1	-1	0.9802955665024631
43	-1	-1	0.9870689655172414
44	-1	-1	0.9770114942528736
45	-1	-1	0.9704433497536946
46	-1	-1	0.979679802955665
47	-1	-1	0.9791013584117032
48	-1	-1	0.9770114942528736
49	-1	-1	0.9895506792058516
50	-1	-1	0.9780377668308703
51	-1	-1	0.9851866883116883
52	-1	-1	0.993431855500821
53	-1	-1	0.9860426929392445
54	-1	-1	0.9874794745484401
55	-1	-1	0.9905582922824302
56	-1	-1	0.9811165845648604
57	-1	-1	0.9786833855799373
58	-1	-1	0.9951933124346918
59	-1	-1	0.9949843260188088
60	-1	-1	0.991584564860427
61	-1	-1	0.9632711038961038
62	-1	-1	0.977216748768473
63	-1	-1	0.9969211822660099
64	-1	-1	0.9733169129720853
65	-1	-1	0.9977422003284072
66	-1	-1	0.9839901477832512
67	-1	-1	0.9951933124346917
68	-1	-1	0.9924764890282132
69	-1	-1	0.9770114942528736
70	-1	-1	0.9872742200328407
71	-1	-1	0.9857954545454546
72	-1	-1	0.9870689655172413
73	-1	-1	0.9889162561576355
74	-1	-1	0.9919950738916256
