,gene,ndiseases
336,EYA4,2
337,F12,2
338,F13A1,3
339,F2,5
340,F5,6
341,F7,2
342,F9,4
343,FARS2,2
344,FAS,3
345,FASLG,2
346,FBLN5,4
347,FBN1,8
348,FBN2,2
349,FCGR2A,3
350,FCGR2B,2
351,FGA,4
352,FGD1,2
353,FGF23,2
354,FGFR1,7
355,FGFR2,14
356,FGFR3,14
357,FH,2
358,FHL1,6
359,FIG4,4
360,FKBP10,2
361,FKTN,4
362,FLCN,4
363,FLG,2
364,FLNA,10
365,FLNB,4
366,FLNC,4
367,FLT4,3
368,FMR1,3
369,FN1,2
370,FOXC1,2
371,FOXC2,2
372,FOXE1,2
373,FOXE3,3
374,FOXL2,3
375,FRMD7,2
376,FSHR,3
377,FTL,3
378,FTO,2
379,FUS,2
380,FUT2,3
381,FZD4,2
382,G6PC3,2
383,G6PD,2
384,GABBR2,4
385,GABRA1,3
386,GABRA2,2
387,GABRB3,2
388,GABRG2,3
389,GAD1,2
390,GARS1,3
391,GATA1,4
392,GATA2,4
393,GATA4,5
394,GATA6,5
395,GATM,2
396,GBA,7
397,GCH1,2
398,GCK,4
399,GCLC,2
400,GCNT2,3
401,GDF1,2
402,GDF3,3
403,GDF5,9
404,GDF6,5
405,GDNF,3
406,GGCX,2
407,GH1,4
408,GHR,4
409,GJA1,8
410,GJA5,2
411,GJB2,7
412,GJB3,5
413,GJB6,4
414,GJC2,3
415,GLB1,4
416,GLE1,2
417,GLI3,4
418,GLRX5,2
419,GLS,3
420,GNA11,2
421,GNAI2,2
422,GNAO1,2
423,GNAQ,2
424,GNAS,8
425,GNB1,3
426,GNB3,2
427,GNB5,2
428,GNE,2
429,GNPTAB,2
430,GP1BA,4
431,GP1BB,2
432,GPC3,2
433,GPR143,2
434,GREB1L,2
435,GRHL2,3
436,GRN,3
437,GSS,2
438,GUCA1A,2
439,GUCY2C,2
440,GUCY2D,4
441,GYG1,2
442,GYPA,2
443,GYPB,2
444,GYPC,2
445,HABP2,2
446,HADH,2
447,HADHA,4
448,HARS1,2
449,HBA1,5
450,HBA2,4
451,HBB,9
452,HBD,2
453,HBG2,2
454,HCN4,2
455,HEPACAM,2
456,HERC2,3
457,HESX1,3
458,HEXA,3
459,HFE,6
460,HGSNAT,2
461,HK1,4
462,HLA-B,6
463,HLA-C,2
464,HLA-DQB1,3
465,HLA-DRB1,2
466,HMGCR,2
467,HMOX1,2
468,HNF1A,6
469,HNF1B,3
470,HNF4A,3
471,HNMT,2
472,HNRNPA1,2
473,HOXA2,2
474,HOXD10,2
475,HOXD13,5
476,HPDL,2
477,HPGD,3
478,HPRT1,2
479,HR,2
480,HRAS,7
481,HSD17B4,2
482,HSPA9,2
483,HSPB1,2
484,HSPB8,2
485,HTR2A,6
486,HTRA1,4
487,HTRA2,2
488,HTT,2
489,IBA57,2
490,IDUA,3
491,IFIH1,2
492,IFNAR2,2
493,IFNG,6
494,IFNGR1,6
495,IFT140,2
496,IFT172,2
497,IFT43,3
498,IGHMBP2,2
499,IKBKG,3
500,IL10,3
501,IL10RB,2
502,IL13,2
503,IL1RN,3
504,IL21R,2
505,IL23R,2
506,IL2RA,2
507,IL4R,2
508,IL6,6
509,IL6R,3
510,IMPDH1,2
511,IMPG2,2
512,INF2,2
513,INPP5E,2
514,INS,3
515,INSR,4
516,IRF1,4
517,IRF5,2
518,IRF6,2
519,IRGM,2
520,IRS1,2
521,ITGA2B,3
522,ITGB3,5
523,ITGB4,3
524,ITM2B,3
525,ITPA,2
526,ITPR1,3
527,JAG1,3
528,JAK2,6
529,JUP,2
530,KANK2,2
531,KARS1,4
532,KAT6B,2
533,KCND3,2
534,KCNE1,2
535,KCNE2,2
536,KCNH1,2
537,KCNJ10,2
538,KCNJ11,5
539,KCNJ13,2
540,KCNJ2,3
541,KCNJ5,2
542,KCNMA1,4
543,KCNQ1,5
544,KCNQ2,3
545,KCNT1,2
546,KIAA0586,2
547,KIF14,2
548,KIF1A,4
549,KIF1B,3
550,KIF5A,3
551,KIF7,4
552,KISS1R,2
553,KIT,6
554,KITLG,3
555,KLF1,3
556,KLF6,2
557,KLHL7,2
558,KNG1,2
559,KRIT1,3
560,KRT1,6
561,KRT10,3
562,KRT14,6
563,KRT16,2
564,KRT17,2
565,KRT5,7
566,KRT74,3
567,KRT83,2
568,KYNU,2
569,L1CAM,6
570,LAMA3,3
571,LAMB2,2
572,LAMB3,3
573,LARS2,2
574,LBR,4
575,LCAT,2
576,LDB3,4
577,LHCGR,5
578,LIG4,2
579,LIPC,3
580,LIPH,2
581,LMNA,11
582,LMNB1,2
583,LMNB2,3
584,LMX1B,2
585,LPA,2
586,LPAR6,2
587,LPL,3
588,LPP,2
589,LRAT,3
590,LRP4,3
591,LRP5,9
592,LRP6,2
593,LSS,3
594,LTA,3
595,LTBP2,3
596,LTBP3,2
597,LZTR1,3
598,MAD1L1,2
599,MAF,2
600,MAGT1,2
601,MAOA,2
602,MAP2K1,2
603,MAP3K20,2
604,MAP3K7,2
605,MAPT,5
606,MARS1,2
607,MARS2,2
608,MAT1A,2
609,MATN3,3
610,MBTPS2,4
611,MC1R,6
612,MECP2,7
613,MED13L,2
614,MEFV,3
615,MEN1,6
616,MET,4
617,MFN2,3
618,MFSD8,2
619,MITF,5
620,MKKS,2
621,MKS1,3
622,MLH1,3
623,MMADHC,3
624,MME,2
625,MMP1,2
626,MMP13,2
627,MORC2,2
628,MPL,3
629,MPO,3
630,MPV17,2
631,MPZ,7
632,MRPS22,2
633,MSH2,3
634,MSH3,2
635,MSH6,3
636,MSX1,3
637,MSX2,3
638,MTFMT,2
639,MTHFD1,2
640,MTHFR,5
641,MTOR,2
642,MTR,2
643,MTRFR,2
644,MTRR,2
645,MTTP,2
646,MUSK,2
647,MUTYH,2
648,MVK,3
649,MXI1,2
650,MYBPC1,3
651,MYBPC3,3
652,MYD88,2
653,MYH14,2
654,MYH6,4
655,MYH7,7
656,MYH9,2
657,MYLK,2
658,MYPN,4
659,MYRF,2
660,NAA10,2
661,NAGLU,2
662,NARS2,2
663,NBN,3
664,NDE1,2
665,NDUFA13,2
666,NDUFAF6,2
667,NDUFB11,2
668,NECTIN1,2
669,NEFH,2
670,NEK1,2
671,NEK8,2
672,NEK9,3
673,NEUROD1,2
674,NF1,5
675,NF2,3
676,NFIX,2
677,NHS,2
678,NKX2-1,3
679,NKX2-5,6
680,NKX2-6,2
681,NLGN3,2
682,NLGN4X,3
683,NLRP1,4
684,NLRP3,5
685,NMNAT1,2
686,NOD2,2
687,NOG,5
688,NOS3,6
689,NOTCH2,2
690,NOTCH2NLC,2
691,NOTCH3,3
692,NPC1L1,2
693,NPHP1,3
694,NPHP3,3
695,NPHP4,2
696,NPPA,2
697,NPR2,3
698,NQO1,3
699,NR0B1,2
700,NR2E3,2
701,NR2F2,2
702,NR3C2,2
703,NR5A1,5
704,NRAS,7
705,NRL,2
706,NRXN1,2
707,NTRK2,2
708,NUP107,3
709,NUP133,2
710,NUP214,3
711,NUS1,2
712,OCA2,4
713,OFD1,4
714,OPA1,5
715,OPA3,2
716,OPN1LW,2
717,OPN1MW,2
718,OPTN,3
719,ORAI1,2
720,OTX2,3
721,PAFAH1B1,2
722,PALB2,3
723,PARN,2
724,PAX2,2
725,PAX3,4
726,PAX6,9
727,PAX7,2
728,PCSK1,2
729,PCSK9,2
730,PDCD1,2
731,PDE10A,2
732,PDE6B,2
733,PDE6H,2
734,PDE8B,2
735,PDGFB,3
736,PDGFRA,2
737,PDGFRB,4
738,PDX1,3
739,PDZD7,3
740,PERP,2
741,PEX1,3
742,PEX12,2
743,PEX13,2
744,PEX2,2
745,PEX26,2
746,PEX5,3
747,PEX7,2
748,PHGDH,2
749,PHOX2B,3
750,PIEZO1,2
751,PIEZO2,4
752,PIGA,2
753,PIGT,2
754,PIK3R1,3
755,PITX2,2
756,PITX3,3
757,PKLR,2
758,PLA2G6,3
759,PLA2G7,3
760,PLAG1,2
761,PLAU,2
762,PLEC,5
763,PLEKHG5,2
764,PMP22,6
765,PMS2,2
766,PNKP,3
767,PNPLA6,4
768,PNPT1,2
769,POGLUT1,2
770,POLA1,2
771,POLD1,2
772,POLE,3
773,POLG,5
774,POLG2,2
775,POLR1C,2
776,POLR3A,2
777,POMGNT1,4
778,PON1,4
779,POR,2
780,POT1,2
781,PPARG,6
782,PPM1D,2
783,PPP2R3C,2
784,PRDM16,2
785,PRF1,3
786,PRKAG2,3
787,PRKAR1A,5
788,PRKN,3
789,PRLR,2
790,PRNP,7
791,PRODH,2
792,PROM1,4
793,PRPH2,6
794,PRPS1,5
795,PRRT2,3
796,PRX,2
797,PSAP,4
798,PSEN1,7
799,PSEN2,2
800,PTCH1,3
801,PTCH2,3
802,PTEN,6
803,PTF1A,2
804,PTH1R,4
805,PTPN11,4
806,PTPN22,3
807,PTPRC,2
808,RAB39B,2
809,RAB3GAP2,2
810,RAD21,2
811,RAD51,3
812,RAD51C,2
813,RAD54B,2
814,RAD54L,3
815,RAF1,3
816,RAG1,4
817,RAG2,3
818,RAPSN,2
819,RASA1,2
820,RAX2,2
821,RB1,5
822,RBBP8,3
823,RBP4,2
824,REEP1,2
825,RELN,2
826,REST,3
827,RET,7
828,RHAG,2
829,RHCE,2
830,RHO,3
831,RIPK1,2
832,RLBP1,4
833,RMRP,2
834,RNU4ATAC,2
835,RP1L1,2
836,RPE65,3
837,RPGR,4
838,RPGRIP1,2
839,RPGRIP1L,3
840,RPL10,2
841,RPS6KA3,2
842,RRAS2,2
843,RRM2B,2
844,RSPO1,2
845,RSPO2,2
846,RTEL1,3
847,RUNX1,2
848,RYR1,5
849,RYR2,2
850,SAG,2
851,SALL1,2
852,SALL4,2
853,SAMD9,3
854,SAMD9L,2
855,SAMHD1,2
856,SASH1,2
857,SATB1,2
858,SBDS,2
859,SCN11A,2
860,SCN1A,4
861,SCN1B,5
862,SCN2A,3
863,SCN3A,2
864,SCN3B,2
865,SCN4A,5
866,SCN4B,2
867,SCN5A,9
868,SCN8A,4
869,SCN9A,5
870,SCNN1A,3
871,SCNN1B,3
872,SCNN1G,3
873,SCO2,2
874,SDHA,4
875,SDHB,5
876,SDHC,3
877,SDHD,4
878,SEC23B,2
879,SELENON,2
880,SEMA4A,2
881,SERPINA1,3
882,SERPINA3,2
883,SERPING1,2
884,SERPINH1,2
885,SETBP1,2
886,SETD1A,2
887,SETX,2
888,SGCD,2
889,SH2B3,2
890,SH3TC2,2
891,SHANK3,2
892,SHH,4
893,SHOX,3
894,SIGMAR1,2
895,SIX1,2
896,SLC11A1,2
897,SLC12A5,2
898,SLC16A1,3
899,SLC17A3,2
900,SLC1A1,2
901,SLC22A18,3
902,SLC24A4,3
903,SLC24A5,2
904,SLC25A1,2
905,SLC25A19,2
906,SLC25A4,3
907,SLC26A2,6
908,SLC26A4,2
909,SLC2A1,5
910,SLC2A2,2
911,SLC2A9,2
912,SLC33A1,2
913,SLC34A1,3
914,SLC37A4,2
915,SLC39A14,2
916,SLC45A2,4
917,SLC4A1,11
918,SLC4A11,3
919,SLC52A3,2
920,SLC5A7,2
921,SLC6A3,2
922,SLC6A4,2
923,SLITRK1,2
924,SMAD4,4
925,SMAD6,3
926,SMARCA4,2
927,SMARCB1,4
928,SMARCE1,2
929,SMC1A,2
930,SMCHD1,2
931,SMO,2
932,SNCA,2
933,SOD1,2
934,SOHLH1,2
935,SOS1,2
936,SOST,2
937,SOX10,3
938,SOX2,2
939,SOX9,3
940,SP110,2
941,SPATA7,2
942,SPECC1L,3
943,SPG11,3
944,SPINK1,3
945,SPTA1,3
946,SPTB,3
947,SQSTM1,4
948,SRC,2
949,SRD5A3,2
950,SREBF1,2
951,STAT5B,3
952,STIM1,3
953,STK11,4
954,SUFU,4
955,SURF1,2
956,SYCE1,2
957,SYCP3,2
958,SYN1,2
959,SYNE1,3
960,SYNJ1,2
961,TAF1,2
962,TARDBP,2
963,TBC1D24,6
964,TBCE,3
965,TBK1,2
966,TBL1XR1,2
967,TBP,2
968,TBX1,4
969,TBX21,2
970,TBX4,2
971,TBXT,2
972,TCAP,2
973,TCF4,2
974,TCTN3,2
975,TEK,2
976,TERC,3
977,TERT,5
978,TET2,2
979,TFAP2B,2
980,TFG,2
981,TG,2
982,TGFB1,3
983,TGFB3,2
984,TGFBR1,2
985,TGFBR2,3
986,THBD,2
987,TIA1,2
988,TINF2,2
989,TIRAP,3
990,TK2,2
991,TLR2,3
992,TLR3,2
993,TLR5,4
994,TMEM107,3
995,TMEM216,2
996,TMEM43,2
997,TMEM67,4
998,TNF,5
999,TNFRSF11A,3
1000,TNFRSF1A,2
1001,TNNT2,4
1002,TNXB,2
1003,TOP3A,2
1004,TOR1A,3
1005,TP53,12
1006,TP63,6
1007,TPH2,2
1008,TPM1,3
1009,TPM2,4
1010,TPM3,3
1011,TPP1,2
1012,TRAF3IP2,2
1013,TREX1,4
1014,TRIM32,2
1015,TRIP13,2
1016,TRIP4,2
1017,TRMU,2
1018,TRNT1,2
1019,TRPM4,2
1020,TRPV3,2
1021,TRPV4,11
