,gene,ndiseases
378,PSMB8,1
379,PRKCSH,1
380,EPB42,1
381,SFTPC,1
382,SFTPB,1
383,SFTPA2,1
384,PDXK,1
385,PYCR1,1
386,PDHB,1
387,RDX,1
388,RAP1GDS1,1
389,PRCC,1
390,REN,1
391,RD3,1
392,PDE6A,1
393,PDE6G,1
394,RARB,1
395,GRK1,1
396,RPIA,1
397,RNASEL,1
398,RPL35A,1
399,RPS17,1
400,POLR2A,1
401,ROM1,1
402,AHCY,1
403,STIL,1
404,SPARC,1
405,SPR,1
406,SNRPN,1
407,SNRPB,1
408,SLC9A3,1
409,SLC5A1,1
410,SLC5A2,1
411,SLC10A1,1
412,SON,1
413,SORD,1
414,SPTAN1,1
415,ZP2,1
416,ZP3,1
417,FDFT1,1
418,SOX4,1
419,CSTA,1
420,SYT1,1
421,VAMP2,1
422,CD27,1
423,CD3G,1
424,CD3D,1
425,CD3E,1
426,CD81,1
427,TAL2,1
428,TRAC,1
429,CD8A,1
430,ITK,1
431,TAL1,1
432,TNC,1
433,TDGF1,1
434,TARS1,1
435,TSHB,1
436,TRHR,1
437,TIMP3,1
438,ZEB1,1
439,GTF2E2,1
440,TEAD1,1
441,TF,1
442,TFRC,1
443,KRAS,1
444,MYC,1
445,THRA,1
446,THRB,1
447,TGM1,1
448,NOTCH1,1
449,TGFB2,1
450,TPI1,1
451,TPP2,1
452,TNNC1,1
453,TNNT1,1
454,TNNI2,1
455,TNNI3,1
456,WARS1,1
457,TUBA4A,1
458,TUBG1,1
459,TNFAIP3,1
460,MAP3K8,1
461,DCT,1
462,TH,1
463,BLK,1
464,KDR,1
465,DDR2,1
466,NTRK1,1
467,UQCRFS1,1
468,UQCRC2,1
469,UQCRB,1
470,UNG,1
471,UGP2,1
472,UMOD,1
473,ATP6V1B1,1
474,VARS1,1
475,AVP,1
476,VLDLR,1
477,VIM,1
478,VCL,1
479,FLI1,1
480,XRCC4,1
481,ZP1,1
482,BBS1,1
483,C6,1
484,C7,1
485,KLKB1,1
486,ETFDH,1
487,PCCA,1
488,PCCB,1
489,GLDC,1
490,AMT,1
491,DLD,1
492,GULOP,1
493,INVS,1
494,DBT,1
495,BCKDHB,1
496,F11,1
497,TBXAS1,1
498,TREH,1
499,PRSS1,1
500,MYO7A,1
501,HCFC1,1
502,EFNB1,1
503,SLC6A8,1
504,POU3F4,1
505,HCCS,1
506,LAGE3,1
507,FGF13,1
508,USP9X,1
509,NDUFA1,1
510,XIAP,1
511,RBM10,1
512,NONO,1
513,SSR4,1
514,SLC16A2,1
515,TSPAN7,1
516,GDI1,1
517,SMS,1
518,MAMLD1,1
519,DKC1,1
520,OPHN1,1
521,KDM6A,1
522,PLS3,1
523,ABCB7,1
524,IGSF1,1
525,IGBP1,1
526,PAK3,1
527,ACSL4,1
528,DDX3X,1
529,EIF2S3,1
530,GPC4,1
531,ARSL,1
532,MED12,1
533,DLG3,1
534,AMMECR1,1
535,TBL1X,1
536,ATP6AP1,1
537,TRAPPC2,1
538,CDKL5,1
539,IL1RAPL1,1
540,SMPX,1
541,SLC9A6,1
542,BMP15,1
543,OGT,1
544,HSD17B10,1
545,UBQLN2,1
546,HDAC8,1
547,NSDHL,1
548,NYX,1
549,FOXP3,1
550,UPF3B,1
551,CUL4B,1
552,TBX22,1
553,TEX11,1
554,CHRDL1,1
555,TIMM8A,1
556,TLR7,1
557,SLC9A7,1
558,ABCD1,1
559,RLIM,1
560,CFP,1
561,EMD,1
562,CD40LG,1
563,CHM,1
564,AMELX,1
565,GPR101,1
566,TAFAZZIN,1
567,THOC2,1
568,BCAP31,1
569,PLP1,1
570,PHF6,1
571,MTM1,1
572,ARHGEF9,1
573,FAM50A,1
574,PCDH19,1
575,OTC,1
576,PQBP1,1
577,MAGED2,1
578,GK,1
579,BCOR,1
580,SH2D1A,1
581,FTSJ1,1
582,PDHA1,1
583,FANCB,1
584,IQSEC2,1
585,NEXMIF,1
586,WDR45,1
587,OCRL,1
588,PHEX,1
589,MID1,1
590,BRWD3,1
591,PHF8,1
592,ADGRG2,1
593,SHROOM4,1
594,MSL3,1
595,HNRNPH2,1
596,C1GALT1C1,1
597,AP1S2,1
598,GLA,1
599,ZDHHC9,1
600,AMER1,1
601,PORCN,1
602,NDP,1
603,BCORL1,1
604,HUWE1,1
605,CCNQ,1
606,OTUD5,1
607,CNKSR2,1
608,STS,1
609,RP2,1
610,NKAP,1
611,PHKA2,1
612,AFF2,1
613,IDS,1
614,STAG2,1
615,FGF16,1
616,ANOS1,1
617,FRMPD4,1
618,RS1,1
619,F8,1
620,CCDC22,1
621,COX7B,1
622,ZC4H2,1
623,IRS4,1
624,VMA21,1
625,DNAAF6,1
626,RNF113A,1
627,LAS1L,1
628,USP27X,1
629,KLHL15,1
630,TBC1D8B,1
631,CFAP47,1
632,ARR3,1
633,CLCN4,1
634,COL4A5,1
635,GJB1,1
636,GRIA3,1
637,CSF2RA,1
638,IL2RG,1
639,LAMP2,1
640,MSN,1
641,PGK1,1
642,PHKA1,1
643,UBE2A,1
644,SOX3,1
645,SYP,1
646,TFE3,1
647,UBA1,1
648,SLC35A2,1
649,XIST,1
650,KDM5C,1
651,XK,1
652,ZNF711,1
653,USP9Y,1
654,SRY,1
655,CACNB2,1
656,YY1,1
657,SMARCA2,1
658,CYB561,1
659,CDH11,1
660,DLX5,1
661,EMX2,1
662,THPO,1
663,ABCA1,1
664,ABCA2,1
665,CNGA3,1
666,ITGB2,1
667,LRP2,1
668,PTPN12,1
669,SYT2,1
670,SLC1A3,1
671,SGCA,1
672,PDE4D,1
673,LAMA4,1
674,MEOX1,1
675,PIGH,1
676,AP1B1,1
677,JAK3,1
678,KRT2,1
679,RUNX2,1
680,PLCG2,1
681,CCNF,1
682,SLC1A4,1
683,PLCB3,1
684,GABRB2,1
685,HMGCS2,1
686,CENPF,1
687,PEX19,1
688,PI4KA,1
689,ADCY5,1
690,ADCY6,1
691,LMX1A,1
692,SLC1A2,1
693,ACADSB,1
694,DDX6,1
695,SLC18A3,1
696,RGR,1
697,PCGF2,1
698,SMN1,1
699,KCNJ1,1
700,SLC25A3,1
701,BBS4,1
702,KCNB1,1
703,TTPA,1
704,NT5C2,1
705,SSBP1,1
706,AQP5,1
707,AKR1C2,1
708,ALDH1A3,1
709,ANK3,1
710,PURA,1
711,SKIV2L,1
712,TCF12,1
713,FGF8,1
714,NFE2L2,1
715,P2RY12,1
716,MASP1,1
717,PLA2G4A,1
718,SLC11A2,1
719,DLX3,1
720,CPT1A,1
721,AUH,1
722,NDUFV2,1
723,VANGL2,1
724,ITGA7,1
725,NR4A3,1
726,ERBB4,1
727,STAT1,1
728,STAT2,1
729,LHX3,1
730,PTPRO,1
731,ASPH,1
732,PPP1CB,1
733,P4HA2,1
734,STAR,1
735,OPCML,1
736,MEF2C,1
737,CHUK,1
738,FZD2,1
739,UBTF,1
740,TNNT3,1
741,IL6ST,1
742,HMGA2,1
743,IARS1,1
744,HNRNPK,1
745,HSD11B1,1
746,PPT1,1
747,CNGB1,1
748,IHH,1
749,NFIA,1
750,NFIB,1
751,TBX2,1
752,CEBPE,1
753,TAF13,1
754,CDKN1B,1
755,HARS2,1
756,PLCB4,1
757,DDB2,1
758,MRE11,1
759,ARCN1,1
760,CSRP3,1
761,RORA,1
762,PDE6C,1
763,INPPL1,1
764,FOXN1,1
765,SLC12A1,1
766,SLC12A2,1
767,P2RX2,1
768,NDST1,1
769,DYRK1A,1
770,AIMP2,1
771,CSNK1D,1
772,GFI1,1
773,KCNJ6,1
774,GJA8,1
775,SOX11,1
776,PRKDC,1
777,SGCB,1
778,PPP1R3A,1
779,FGF9,1
780,PPOX,1
781,GFER,1
782,PTPRJ,1
783,NPRL3,1
784,CRYBB1,1
785,IL11RA,1
786,DHPS,1
787,AMHR2,1
788,AMH,1
789,COPB1,1
790,SET,1
791,SIX5,1
792,SLC12A3,1
793,MYO6,1
794,DMP1,1
795,MAP3K1,1
796,LEPR,1
797,CACNA1B,1
798,CACNA1E,1
799,NPC2,1
800,SNTA1,1
801,SLC6A9,1
802,AP2M1,1
803,CTNND1,1
804,FOXF1,1
805,FOXI1,1
806,MFAP5,1
807,CTSK,1
808,ABCC2,1
809,CLPP,1
810,STT3A,1
811,CSTB,1
812,IDH3A,1
813,DDX11,1
814,ADARB1,1
815,DTNA,1
816,GAMT,1
817,SOS2,1
818,BIN1,1
819,AMBN,1
820,MAP2K2,1
821,NODAL,1
822,C1QBP,1
823,MAB21L1,1
824,ACVRL1,1
825,SLC10A2,1
826,BMPR1A,1
827,ACVR1B,1
828,PKD1,1
829,HINT1,1
830,SCN2B,1
831,MOGS,1
832,DVL1,1
833,DVL3,1
834,TUSC3,1
835,GPR68,1
836,BCL7A,1
837,KAT6A,1
838,KAT5,1
839,OXCT1,1
840,CFL2,1
841,SLCO2A1,1
842,MYO1E,1
843,STX1B,1
844,NCF4,1
845,IGFALS,1
846,PEX6,1
847,FGF12,1
848,FGF14,1
849,ALX1,1
850,VEGFC,1
851,PROP1,1
852,EFEMP1,1
853,ATXN1,1
854,IRF8,1
855,ING1,1
856,LMAN1,1
857,ADD3,1
858,EZH2,1
859,IL12RB1,1
860,NTN1,1
861,ABCA3,1
862,RDH5,1
863,SOX18,1
864,TBX5,1
865,TBX3,1
866,UBE3A,1
867,PRKACA,1
868,ACOX2,1
869,PPP2R5D,1
870,MYOC,1
871,SNRNP200,1
872,DPF2,1
873,KRT12,1
874,TGFBI,1
875,SERPINB8,1
876,PTGIS,1
877,STXBP2,1
878,NEUROD2,1
879,PIGC,1
880,ATIC,1
881,SMARCC2,1
882,SMARCD1,1
883,SMARCD2,1
884,MEIS2,1
885,OSMR,1
886,GLMN,1
887,ENTPD1,1
888,GALNT3,1
889,VDR,1
890,PMM2,1
891,MSTN,1
892,PEX14,1
893,MCM6,1
894,MMP19,1
895,DNA2,1
896,FXYD2,1
897,BPTF,1
898,NDUFS7,1
899,SLC5A5,1
900,WNK4,1
901,RFXAP,1
902,RFX5,1
903,PLOD2,1
904,B4GALNT1,1
905,RAX,1
906,TRIO,1
907,ZNF148,1
908,GHSR,1
909,ORC1,1
910,ARHGDIA,1
911,KRT86,1
912,TAPBP,1
913,WNT2B,1
914,PKP1,1
915,OGG1,1
916,NOVA2,1
917,POLR1B,1
918,COX6A2,1
919,PPP1R12A,1
920,CLCNKB,1
921,CLCNKA,1
922,PHYH,1
923,EML1,1
924,RAC1,1
925,RAC2,1
926,RAC3,1
927,TALDO1,1
928,IMPA1,1
929,COX6A1,1
930,SH3BP2,1
931,KMT2D,1
932,FGF10,1
933,NDN,1
934,CHD1,1
935,CHD2,1
936,CHD3,1
937,SRP72,1
938,CAMK2G,1
939,COX10,1
940,NDUFA2,1
941,NDUFA6,1
942,NDUFB8,1
943,NDUFS8,1
944,PLCD1,1
945,LHX4,1
946,PITX1,1
947,SNAI2,1
948,KRT81,1
949,AP3B2,1
950,ESRRB,1
951,VRK1,1
952,NKX3-2,1
953,ECM1,1
954,RAB18,1
955,KCNQ3,1
956,EXOSC2,1
957,MIPEP,1
958,AP2S1,1
959,DNASE1L3,1
960,SCARB2,1
961,GALNT2,1
962,GUCA1B,1
963,PABPN1,1
964,TULP1,1
965,SC5D,1
966,FOXJ1,1
967,ECHS1,1
968,CIB1,1
969,AP4M1,1
970,RAB7A,1
971,EMP2,1
972,ROR2,1
973,LAT,1
974,WIPF1,1
975,GRID2,1
976,DNM1,1
977,PLD1,1
978,TUFM,1
979,ATP8B1,1
980,MLLT10,1
981,BRPF1,1
982,RPS24,1
983,TBX6,1
984,ROBO2,1
985,HSF4,1
986,SERPINI1,1
987,BUB1,1
988,FADD,1
989,POU4F3,1
990,POU3F3,1
991,POP1,1
992,USP7,1
993,TUBA1A,1
994,PARK7,1
995,RAB3GAP1,1
996,CAPN5,1
997,NUP88,1
998,SNCB,1
999,ANXA11,1
1000,TECTA,1
1001,LFNG,1
1002,FUT8,1
1003,PAK1,1
1004,KIF2A,1
1005,MGAT2,1
1006,CTBP1,1
1007,TGIF1,1
1008,MCM4,1
1009,TNFSF11,1
1010,TNFRSF11B,1
1011,SPOP,1
1012,NTHL1,1
1013,PDE2A,1
1014,TUBB4B,1
1015,MYO15A,1
1016,PDE6D,1
1017,PCYT2,1
1018,NDUFS4,1
1019,KATNB1,1
1020,ADAM9,1
1021,NPHS1,1
1022,GRIN2D,1
1023,CLCN6,1
1024,ACVR2B,1
1025,FYB1,1
1026,PLS1,1
1027,GNPAT,1
1028,DUSP6,1
1029,PHOX2A,1
1030,KCNN4,1
1031,KRT85,1
1032,DLL3,1
1033,SHOC2,1
1034,HCN1,1
1035,SPG7,1
1036,PIK3CD,1
1037,CD70,1
1038,GMNN,1
1039,DHCR7,1
1040,PEX10,1
1041,PKP2,1
1042,IGFBP7,1
1043,HNRNPU,1
1044,IMPG1,1
1045,OCLN,1
1046,DLG4,1
1047,DNMT3B,1
1048,STXBP1,1
1049,CITED2,1
1050,BAAT,1
1051,RORC,1
1052,TAF6,1
1053,FANCG,1
1054,EEF1A2,1
1055,AEBP1,1
1056,KCNN3,1
1057,NDUFS2,1
1058,PAPSS2,1
1059,IKZF1,1
1060,ARID1A,1
1061,PICALM,1
1062,COLQ,1
1063,RNF139,1
1064,GPAA1,1
1065,AGPS,1
1066,ORC4,1
1067,KIF1C,1
1068,PLOD3,1
1069,ZIC2,1
1070,DARS1,1
1071,BAP1,1
1072,AGPAT2,1
1073,CPN1,1
1074,TCF20,1
1075,SMAD3,1
1076,PPP2R1B,1
1077,DOCK2,1
1078,DOCK3,1
1079,PMPCB,1
1080,ATP5F1D,1
1081,PTPN14,1
1082,PIK3R2,1
1083,USP8,1
1084,PEX3,1
1085,ALDH6A1,1
1086,RTN2,1
1087,CDK8,1
1088,COCH,1
1089,CAVIN1,1
1090,RFXANK,1
1091,ABCB11,1
1092,LCT,1
1093,BFSP2,1
1094,KIF22,1
1095,ABCD4,1
1096,KCNK3,1
1097,MVD,1
1098,BMPR1B,1
1099,IKBKB,1
1100,CA12,1
1101,CHD4,1
1102,TRDN,1
1103,PNPO,1
1104,KERA,1
1105,MCM3AP,1
1106,SMAD9,1
1107,DYNC2H1,1
1108,KLF11,1
1109,BFSP1,1
1110,CDK13,1
1111,PTPRQ,1
1112,DNAH9,1
1113,DYNC1I2,1
1114,DNAH2,1
1115,DNAH5,1
1116,DNAH8,1
1117,DNAH11,1
1118,SLC4A4,1
1119,EPAS1,1
1120,SERPINB7,1
1121,NDUFA8,1
1122,PEX16,1
1123,UGDH,1
1124,SLC22A5,1
1125,SYNGAP1,1
1126,SPAG1,1
1127,CCN6,1
1128,AP3B1,1
1129,DHX16,1
1130,FZD6,1
1131,PRKRA,1
1132,DAB1,1
1133,CRADD,1
1134,CDK10,1
1135,CDC45,1
1136,ASS1,1
1137,RPS19,1
1138,AURKC,1
1139,DPM1,1
1140,CDC14A,1
1141,DPH1,1
1142,AP1S1,1
1143,KCNQ4,1
1144,CTSF,1
1145,MTMR2,1
1146,SBF1,1
1147,DPM2,1
1148,TRPM1,1
1149,MADD,1
1150,LARGE1,1
1151,SLC7A7,1
1152,PIK3C2A,1
1153,AIMP1,1
1154,TNFRSF10B,1
1155,SLC24A1,1
1156,YARS1,1
1157,RPS10,1
1158,RPS29,1
1159,RPL5,1
1160,RPL21,1
1161,SCO1,1
1162,COX15,1
1163,BCS1L,1
1164,BBS5,1
1165,TRPC6,1
1166,RPS7,1
1167,STX16,1
1168,SLC25A12,1
1169,OTOF,1
1170,RPS23,1
1171,RPS28,1
1172,RPS26,1
1173,MOCS1,1
1174,MOCS2,1
1175,ADAM22,1
1176,SIX3,1
1177,GCM2,1
1178,CLDN1,1
1179,ELP1,1
1180,FGF17,1
1181,QARS1,1
1182,SGPL1,1
1183,ALOX12B,1
1184,KIF3B,1
1185,KLK4,1
1186,RECQL4,1
1187,MPDZ,1
1188,LITAF,1
1189,CHST3,1
1190,TGM5,1
1191,MED13,1
1192,MED17,1
1193,BANF1,1
1194,NR1H4,1
1195,NDUFA9,1
1196,NDUFA10,1
1197,NDUFB3,1
1198,NDUFC2,1
1199,NDUFS3,1
1200,NDUFS6,1
1201,MKRN3,1
1202,SLC25A13,1
1203,SLC25A15,1
1204,PEX11B,1
1205,RAB27A,1
1206,PLAA,1
1207,EFTUD2,1
1208,EIF3F,1
1209,SUCLA2,1
1210,GPHN,1
1211,RP1,1
1212,SLC19A2,1
1213,EIF2B5,1
1214,HELLS,1
1215,CLDN16,1
1216,RASGRP1,1
1217,POLH,1
1218,SLC5A6,1
1219,GOSR2,1
1220,EIF2AK3,1
1221,RAD50,1
1222,MPDU1,1
1223,SEPTIN9,1
1224,ITGA8,1
1225,CACNA1G,1
1226,RGS9,1
1227,ZNF142,1
1228,GRM6,1
1229,GRM7,1
1230,MYOT,1
1231,SYCP2,1
1232,ADGRG1,1
1233,KCNQ1OT1,1
1234,PIGB,1
1235,RNASEH1,1
1236,SULT2B1,1
1237,SVIL,1
1238,TBX15,1
1239,ADAMTS13,1
1240,DNAJB2,1
1241,TYROBP,1
1242,SLC7A9,1
1243,SGCE,1
1244,SLC6A5,1
1245,SLC25A11,1
1246,CTCF,1
1247,RPL11,1
1248,SELENBP1,1
1249,SLC27A4,1
1250,MTHFS,1
1251,RAB11B,1
1252,SNAP29,1
1253,SLC34A2,1
1254,ARPC1B,1
1255,CRLF1,1
1256,CD2AP,1
1257,RNF6,1
1258,DLC1,1
1259,MEGF8,1
1260,FAT2,1
1261,SPAST,1
1262,PRG4,1
1263,AGXT,1
1264,GRHPR,1
1265,GALK1,1
1266,SLC17A5,1
1267,PPP2R2B,1
1268,B4GALT7,1
1269,GRAP,1
1270,MAN1B1,1
1271,LAMC3,1
1272,MAB21L2,1
1273,STAG1,1
1274,DNAI1,1
1275,GPNMB,1
1276,GFI1B,1
1277,ATP2C1,1
1278,TRPS1,1
1279,MLH3,1
1280,ST3GAL5,1
1281,GPC6,1
1282,AFF4,1
1283,SCN10A,1
1284,PLPBP,1
1285,PSMD12,1
1286,GRM1,1
1287,OTOG,1
1288,SACS,1
1289,ZNHIT3,1
1290,TRIP11,1
1291,TRIP12,1
1292,HAAO,1
1293,IDH3B,1
1294,ADAMTS2,1
1295,TONSL,1
1296,HSF2BP,1
1297,DYRK1B,1
1298,ICOS,1
1299,ALG6,1
1300,FRRS1L,1
1301,BVES,1
1302,PDGFRL,1
1303,TCIRG1,1
1304,KIF5C,1
1305,CRIPT,1
1306,GRIP1,1
1307,BLM,1
1308,WRN,1
1309,TBX18,1
1310,TBX19,1
1311,TBR1,1
1312,LGI1,1
1313,MMP20,1
1314,NR0B2,1
1315,VAC14,1
1316,EFEMP2,1
1317,ACTN4,1
1318,TBCD,1
1319,SLC40A1,1
1320,CERT1,1
1321,MERTK,1
1322,LTBP4,1
1323,TSPYL1,1
1324,TFR2,1
1325,TSFM,1
1326,WARS2,1
1327,WDR1,1
1328,AKR1D1,1
1329,NPHS2,1
1330,ACAD8,1
1331,ANGPTL3,1
1332,ABHD5,1
1333,FLRT3,1
1334,PUF60,1
1335,SLCO1B1,1
1336,HS2ST1,1
1337,SRP54,1
1338,MALT1,1
1339,MPZL2,1
1340,MYO9A,1
1341,SLC12A6,1
1342,NEUROG3,1
1343,NBEA,1
1344,BRF1,1
1345,TNFRSF13B,1
1346,CNOT2,1
1347,CNOT3,1
1348,TAF2,1
1349,CNOT1,1
1350,CTDP1,1
1351,PDE11A,1
1352,STK4,1
1353,FCN3,1
1354,SOX5,1
1355,HPS1,1
1356,SPTBN2,1
1357,SLC9A3R1,1
1358,CORO1A,1
1359,SPINK5,1
1360,ADAMTS3,1
1361,STX11,1
1362,ITGA3,1
1363,PLK4,1
1364,CPLX1,1
1365,WASF1,1
1366,MED23,1
1367,GIPC1,1
1368,TRIM37,1
1369,CNGB3,1
1370,MICU1,1
1371,TREM2,1
1372,PIGK,1
1373,TAB2,1
1374,MASP2,1
1375,HERC1,1
1376,S1PR2,1
1377,AASS,1
1378,GDF2,1
1379,SPINT2,1
1380,PXDN,1
1381,GAS8,1
1382,DLL4,1
1383,CFC1,1
1384,MESP2,1
1385,NANS,1
1386,CYP26B1,1
1387,DIABLO,1
1388,RERE,1
1389,CORIN,1
1390,XPR1,1
1391,ATP6V0A4,1
1392,USH1C,1
1393,MCOLN1,1
1394,NCSTN,1
1395,AICDA,1
1396,NDRG1,1
1397,JPH2,1
1398,JPH3,1
1399,SGSH,1
1400,MAGEL2,1
1401,CHST6,1
1402,RBM8A,1
1403,FOXP2,1
1404,YWHAG,1
1405,ARHGAP26,1
1406,ARFGEF2,1
1407,DMPK,1
1408,AAAS,1
1409,GAN,1
1410,KDM5B,1
1411,BACH2,1
1412,GJB4,1
1413,MAPK8IP3,1
1414,PRKD1,1
1415,ADIPOQ,1
1416,ABCG5,1
1417,IL17RA,1
1418,ASPM,1
1419,DNAI2,1
1420,IFT81,1
1421,LONP1,1
1422,SLCO1B3,1
1423,CRTAP,1
1424,IL36RN,1
1425,TMPRSS3,1
1426,PCDH15,1
1427,FOXP1,1
1428,B4GAT1,1
1429,LPIN1,1
1430,LPIN2,1
1431,LMBR1,1
1432,CDT1,1
1433,ATF6,1
1434,GP6,1
1435,NOS1AP,1
1436,CIB2,1
1437,HSD17B3,1
1438,DHX38,1
1439,SF3B1,1
1440,SF3B4,1
1441,MYOZ2,1
1442,CLDN14,1
1443,OXR1,1
1444,SLC6A20,1
1445,PCDH12,1
1446,CIT,1
1447,SLC35A1,1
1448,FBXO7,1
1449,FBXW11,1
1450,FBXL3,1
1451,FBXL4,1
1452,BTG4,1
1453,VAPB,1
1454,SIK1,1
1455,RIPK4,1
1456,SPTLC1,1
1457,SPTLC2,1
1458,KCNK4,1
1459,KY,1
1460,HHAT,1
1461,EXTL3,1
1462,LDLRAP1,1
1463,PIGQ,1
1464,SLC45A1,1
1465,TDP2,1
1466,KLHL3,1
1467,MAPRE2,1
1468,TEX14,1
1469,TEX15,1
1470,AMN,1
1471,ZEB2,1
1472,NUP62,1
1473,POPDC3,1
1474,TMC6,1
1475,TMC8,1
1476,CASP14,1
1477,DMGDH,1
1478,RXYLT1,1
1479,KCNK9,1
1480,SLC35C1,1
1481,ECEL1,1
1482,ALG1,1
1483,MLC1,1
1484,ANGPTL4,1
1485,PCNT,1
1486,PIGP,1
1487,DSE,1
1488,PIGL,1
1489,RAB33B,1
1490,DPM3,1
1491,NKX6-2,1
1492,TRAIP,1
1493,VPS13A,1
1494,UBR1,1
1495,PPP2R1A,1
1496,EED,1
1497,PDP1,1
1498,HAX1,1
1499,ALX3,1
1500,EXOSC8,1
1501,ZBTB20,1
1502,CPSF1,1
1503,RNASEH2A,1
1504,CD96,1
1505,IFT122,1
1506,MBOAT7,1
1507,DNAJC12,1
1508,TBX20,1
1509,SMC3,1
1510,TWNK,1
1511,PIGN,1
1512,ADGRE2,1
1513,PIP5K1C,1
1514,SLC44A1,1
1515,HPS3,1
1516,SLURP1,1
1517,MYOCD,1
1518,RAB23,1
1519,SLC2A10,1
1520,SLC19A3,1
1521,PANK2,1
1522,EXOSC9,1
1523,IRX5,1
1524,SPTBN4,1
1525,NT5C3A,1
1526,MFRP,1
1527,AGO2,1
1528,ASPSCR1,1
1529,IKZF5,1
1530,SUZ12,1
1531,STAMBP,1
1532,TNFRSF13C,1
1533,CTNS,1
1534,EIF2B3,1
1535,CYFIP2,1
1536,SIX6,1
1537,PSTPIP1,1
1538,APTX,1
1539,ESPN,1
1540,ACP4,1
1541,APOA5,1
1542,TPK1,1
1543,FMN2,1
1544,B3GAT3,1
1545,MAGI2,1
1546,NEDD4L,1
1547,CATSPER1,1
1548,ITCH,1
1549,SLC13A3,1
1550,BSND,1
1551,WDR11,1
1552,DHCR24,1
1553,PRPF31,1
1554,ELMO2,1
1555,STRC,1
1556,LRBA,1
1557,EIF2B2,1
1558,HAMP,1
1559,NHP2,1
1560,NOP10,1
1561,CD320,1
1562,EXOSC3,1
1563,ST3GAL3,1
1564,MLPH,1
1565,CYP27A1,1
1566,MYO5B,1
1567,GFM2,1
1568,LZTS1,1
1569,BCL11A,1
1570,MYLK2,1
1571,LZTFL1,1
1572,SFRP4,1
1573,DLL1,1
1574,PTPN23,1
1575,ENAM,1
1576,FKRP,1
1577,GDAP1,1
1578,EDARADD,1
1579,YAP1,1
1580,SMARCAL1,1
1581,DAAM2,1
1582,GNMT,1
1583,RIMS1,1
1584,RIMS2,1
1585,SP7,1
1586,TMPRSS15,1
1587,GFM1,1
1588,HAVCR2,1
1589,UPB1,1
1590,TRPV6,1
1591,NSD1,1
1592,HPS4,1
1593,EIF2B1,1
1594,EIF2B4,1
1595,TRAF7,1
1596,PKHD1,1
1597,TMC1,1
1598,PRSS12,1
1599,CLN6,1
1600,OSBPL2,1
1601,TLL1,1
1602,PADI3,1
1603,DUOX2,1
1604,MLYCD,1
1605,TPO,1
1606,TKT,1
1607,ST14,1
1608,GAA,1
1609,FTCD,1
1610,IL17RD,1
1611,MYO3A,1
1612,ALDH4A1,1
1613,COG5,1
1614,FXN,1
1615,AGTPBP1,1
1616,NLRC4,1
1617,KMT2C,1
1618,KMT2B,1
1619,RB1CC1,1
1620,ALMS1,1
1621,TCOF1,1
1622,JAM2,1
1623,JAM3,1
1624,HEXB,1
1625,ATP7B,1
1626,IRAK4,1
1627,ACADS,1
1628,SUOX,1
1629,GALC,1
1630,LYST,1
1631,NDUFAF1,1
1632,UROS,1
1633,LDLR,1
1634,GALE,1
1635,WBP2,1
1636,GEMIN4,1
1637,COG1,1
1638,COG7,1
1639,COG8,1
1640,COQ8A,1
1641,GALT,1
1642,EHMT1,1
1643,PROK2,1
1644,ACADM,1
1645,TRPM6,1
1646,LIAS,1
1647,IVD,1
1648,OTOA,1
1649,CLN3,1
1650,ATXN3,1
1651,USP18,1
1652,SLC39A4,1
1653,ZMYND10,1
1654,NPRL2,1
1655,CACNA2D2,1
1656,SLC22A12,1
1657,SPART,1
1658,MCPH1,1
1659,MRPL3,1
1660,PLCB1,1
1661,PROKR2,1
1662,HNRNPDL,1
1663,FANCA,1
1664,ALG12,1
1665,DTNBP1,1
1666,ZMIZ1,1
1667,CRELD1,1
1668,FYCO1,1
1669,SEC24D,1
1670,PUM1,1
1671,ALOXE3,1
1672,STUB1,1
1673,CARD9,1
1674,ORC6,1
1675,SMOC2,1
1676,TMIE,1
1677,AP4S1,1
1678,AP4B1,1
1679,SOX6,1
1680,AUTS2,1
1681,BLOC1S5,1
1682,MYO18B,1
1683,PRPF8,1
1684,PRPF3,1
1685,SRD5A2,1
1686,CABP2,1
1687,ALPK1,1
1688,RHOBTB2,1
1689,KCNQ5,1
1690,AIRE,1
1691,TRAF3IP1,1
1692,TIMM50,1
1693,MC2R,1
1694,EBF3,1
1695,NME8,1
1696,POMT1,1
1697,KIRREL1,1
1698,PDSS1,1
1699,GTPBP2,1
1700,ERAL1,1
1701,POMT2,1
1702,DYM,1
1703,CDAN1,1
1704,HGD,1
1705,APCDD1,1
1706,MMAA,1
1707,LDHD,1
1708,POFUT1,1
1709,PACS1,1
1710,ADAMTS17,1
1711,ADAMTS18,1
1712,HPS5,1
1713,HPS6,1
1714,ROBO4,1
1715,PIBF1,1
1716,CRTC1,1
1717,MAML2,1
1718,LRPPRC,1
1719,MSMO1,1
1720,SLC17A8,1
1721,EPM2A,1
1722,MMAB,1
1723,ARSA,1
1724,BBS7,1
1725,KCNV2,1
1726,KRT9,1
1727,SMPD1,1
1728,COLEC10,1
1729,PMVK,1
1730,NPC1,1
1731,PSENEN,1
1732,XDH,1
1733,ATXN7,1
1734,RAI1,1
1735,FSCN2,1
1736,PLVAP,1
1737,OSTM1,1
1738,CTH,1
1739,GNS,1
1740,CTNNA3,1
1741,CLCF1,1
