	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.9333333333333333
1	-1	-1	0.9942028985507246
2	-1	-1	0.9424242424242424
3	-1	-1	0.9696969696969697
4	-1	-1	0.9818181818181818
5	-1	-1	0.9484848484848485
6	-1	-1	1.0
7	-1	-1	0.9610389610389611
8	-1	-1	0.9675324675324675
9	-1	-1	0.9837662337662336
10	-1	-1	0.9304347826086956
11	-1	-1	0.8724637681159421
12	-1	-1	0.9242424242424242
13	-1	-1	0.9575757575757576
14	-1	-1	0.9393939393939393
15	-1	-1	0.9818181818181817
16	-1	-1	0.9484848484848485
17	-1	-1	0.9675324675324675
18	-1	-1	0.9772727272727273
19	-1	-1	0.9155844155844157
20	-1	-1	0.9739130434782609
21	-1	-1	0.9217391304347827
22	-1	-1	0.990909090909091
23	-1	-1	0.990909090909091
24	-1	-1	0.9666666666666667
25	-1	-1	0.9909090909090909
26	-1	-1	0.9424242424242424
27	-1	-1	0.9675324675324675
28	-1	-1	0.9090909090909091
29	-1	-1	0.9577922077922078
30	-1	-1	0.9652173913043478
31	-1	-1	0.8782608695652173
32	-1	-1	1.0
33	-1	-1	0.9181818181818182
34	-1	-1	0.9272727272727272
35	-1	-1	0.9151515151515153
36	-1	-1	0.9090909090909091
37	-1	-1	0.9805194805194806
38	-1	-1	0.9610389610389609
39	-1	-1	0.9383116883116882
40	-1	-1	0.9478260869565217
41	-1	-1	0.9884057971014493
42	-1	-1	0.9515151515151515
43	-1	-1	0.9757575757575758
44	-1	-1	0.9878787878787879
45	-1	-1	0.9121212121212121
46	-1	-1	0.9575757575757575
47	-1	-1	0.9155844155844155
48	-1	-1	0.9707792207792207
49	-1	-1	0.9642857142857143
50	-1	-1	0.9652173913043478
51	-1	-1	0.9942028985507246
52	-1	-1	0.9272727272727272
53	-1	-1	0.9363636363636364
54	-1	-1	0.9848484848484849
55	-1	-1	0.9939393939393939
56	-1	-1	0.9515151515151514
57	-1	-1	0.9220779220779222
58	-1	-1	0.9805194805194806
59	-1	-1	0.9805194805194806
60	-1	-1	0.8434782608695652
61	-1	-1	0.991304347826087
62	-1	-1	0.9666666666666666
63	-1	-1	0.9636363636363636
64	-1	-1	0.9696969696969697
65	-1	-1	0.9424242424242424
66	-1	-1	0.9333333333333333
67	-1	-1	0.9383116883116883
68	-1	-1	0.9285714285714286
69	-1	-1	0.9577922077922078
70	-1	-1	0.9768115942028986
71	-1	-1	1.0
72	-1	-1	0.9696969696969697
73	-1	-1	0.9272727272727272
74	-1	-1	0.8696969696969697
75	-1	-1	0.8878787878787879
76	-1	-1	0.906060606060606
77	-1	-1	0.9837662337662337
78	-1	-1	0.987012987012987
79	-1	-1	0.9805194805194805
80	-1	-1	0.9652173913043478
81	-1	-1	0.9623188405797102
82	-1	-1	0.9636363636363636
83	-1	-1	0.9757575757575757
84	-1	-1	0.9666666666666666
85	-1	-1	0.9454545454545454
86	-1	-1	0.9090909090909092
87	-1	-1	0.9967532467532468
88	-1	-1	0.9220779220779222
89	-1	-1	0.9512987012987013
90	-1	-1	0.9971014492753624
91	-1	-1	0.9884057971014493
92	-1	-1	0.9878787878787879
93	-1	-1	0.9545454545454546
94	-1	-1	0.9242424242424242
95	-1	-1	0.8848484848484848
96	-1	-1	0.8696969696969696
97	-1	-1	0.974025974025974
98	-1	-1	0.9902597402597402
99	-1	-1	0.9642857142857142
100	-1	-1	0.9391304347826086
101	-1	-1	0.8202898550724638
102	-1	-1	0.9484848484848485
103	-1	-1	0.8424242424242423
104	-1	-1	0.9969696969696971
105	-1	-1	0.9545454545454545
106	-1	-1	0.9303030303030302
107	-1	-1	0.974025974025974
108	-1	-1	0.9285714285714286
109	-1	-1	0.9512987012987013
110	-1	-1	0.9565217391304348
111	-1	-1	0.8695652173913044
112	-1	-1	0.9757575757575757
113	-1	-1	0.9484848484848485
114	-1	-1	0.8878787878787879
115	-1	-1	0.9424242424242424
116	-1	-1	0.9090909090909092
117	-1	-1	0.9935064935064934
118	-1	-1	0.9285714285714286
119	-1	-1	0.948051948051948
120	-1	-1	0.9710144927536232
121	-1	-1	0.9565217391304348
122	-1	-1	0.9090909090909092
123	-1	-1	0.9727272727272728
124	-1	-1	0.8878787878787878
125	-1	-1	0.9878787878787878
126	-1	-1	0.9454545454545453
127	-1	-1	0.8409090909090909
128	-1	-1	0.9805194805194806
129	-1	-1	0.9415584415584416
130	-1	-1	0.881159420289855
131	-1	-1	0.9507246376811594
132	-1	-1	0.9757575757575757
133	-1	-1	0.9545454545454546
134	-1	-1	0.9787878787878788
135	-1	-1	0.9878787878787878
136	-1	-1	0.9837662337662337
137	-1	-1	0.9424242424242424
138	-1	-1	0.9675324675324675
139	-1	-1	0.9902597402597402
140	-1	-1	0.9855072463768116
141	-1	-1	0.9536231884057971
142	-1	-1	1.0
143	-1	-1	0.9818181818181818
144	-1	-1	0.9606060606060606
145	-1	-1	0.9696969696969697
146	-1	-1	0.9636363636363636
147	-1	-1	0.9870129870129869
148	-1	-1	0.9058441558441559
149	-1	-1	0.9805194805194805
150	-1	-1	1.0
151	-1	-1	0.8782608695652174
152	-1	-1	0.9454545454545454
153	-1	-1	0.9575757575757575
154	-1	-1	0.9787878787878788
155	-1	-1	0.9393939393939393
156	-1	-1	0.9363636363636364
157	-1	-1	0.987012987012987
158	-1	-1	0.9545454545454546
159	-1	-1	0.9935064935064936
160	-1	-1	0.9507246376811593
161	-1	-1	0.9768115942028985
162	-1	-1	0.9787878787878788
163	-1	-1	0.9666666666666667
164	-1	-1	0.9848484848484849
165	-1	-1	0.8848484848484848
166	-1	-1	0.9636363636363636
167	-1	-1	0.9772727272727273
168	-1	-1	0.974025974025974
169	-1	-1	0.8863636363636364
170	-1	-1	0.9130434782608695
171	-1	-1	0.9101449275362319
172	-1	-1	0.9787878787878788
173	-1	-1	0.9727272727272727
174	-1	-1	0.896969696969697
175	-1	-1	0.9242424242424243
176	-1	-1	0.9969696969696971
177	-1	-1	0.9805194805194805
178	-1	-1	0.9577922077922078
179	-1	-1	1.0
180	-1	-1	0.9159420289855074
181	-1	-1	0.9681159420289855
182	-1	-1	0.9333333333333333
183	-1	-1	0.9969696969696971
184	-1	-1	0.9303030303030303
185	-1	-1	0.9666666666666667
186	-1	-1	0.9575757575757575
187	-1	-1	0.9772727272727273
188	-1	-1	0.9837662337662337
189	-1	-1	1.0
190	-1	-1	0.9565217391304347
191	-1	-1	0.9942028985507247
192	-1	-1	0.8666666666666667
193	-1	-1	0.9515151515151516
194	-1	-1	0.9151515151515153
195	-1	-1	0.9818181818181818
196	-1	-1	0.9333333333333333
197	-1	-1	1.0
198	-1	-1	0.922077922077922
199	-1	-1	0.9837662337662337
200	-1	-1	0.9594202898550726
201	-1	-1	0.9420289855072465
202	-1	-1	0.8818181818181818
203	-1	-1	0.9242424242424243
204	-1	-1	0.8909090909090909
205	-1	-1	0.9696969696969697
206	-1	-1	0.9909090909090909
207	-1	-1	0.9610389610389609
208	-1	-1	0.9383116883116882
209	-1	-1	0.9512987012987013
210	-1	-1	0.9652173913043478
211	-1	-1	0.927536231884058
212	-1	-1	0.8666666666666666
213	-1	-1	0.9636363636363636
214	-1	-1	0.9818181818181818
215	-1	-1	0.993939393939394
216	-1	-1	0.9636363636363636
217	-1	-1	0.9545454545454546
218	-1	-1	0.9675324675324676
219	-1	-1	0.8993506493506493
220	-1	-1	0.991304347826087
221	-1	-1	0.9681159420289855
222	-1	-1	0.9545454545454545
223	-1	-1	0.9515151515151514
224	-1	-1	0.9424242424242424
225	-1	-1	0.9787878787878788
226	-1	-1	0.9787878787878788
227	-1	-1	0.9025974025974026
228	-1	-1	0.9448051948051948
229	-1	-1	0.9090909090909091
230	-1	-1	0.9420289855072463
231	-1	-1	0.9507246376811594
232	-1	-1	0.9272727272727274
233	-1	-1	0.9969696969696971
234	-1	-1	0.9484848484848485
235	-1	-1	0.9606060606060606
236	-1	-1	0.9484848484848485
237	-1	-1	0.9870129870129869
238	-1	-1	0.9902597402597402
239	-1	-1	0.9707792207792209
240	-1	-1	0.9884057971014493
